freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.250e+01,3.670e+01,4.718e+02,5.210e+02
1.5,3.287e+01,3.254e+01,2.857e+02,3.511e+02
3.1,3.572e+01,1.590e+01,3.707e+01,8.869e+01
4.6,3.188e+01,1.747e+01,3.559e+02,4.052e+02
6.2,3.154e+01,2.008e+01,1.122e+03,1.173e+03
7.7,3.178e+01,1.963e+01,1.806e+03,1.857e+03
9.2,3.537e+01,2.271e+01,2.684e+03,2.742e+03
10.8,3.891e+01,2.546e+01,3.644e+03,3.709e+03
12.3,4.048e+01,2.635e+01,4.782e+03,4.849e+03
13.9,4.111e+01,2.824e+01,6.257e+03,6.326e+03
15.4,4.074e+01,3.062e+01,8.119e+03,8.190e+03
16.9,3.703e+01,3.596e+01,1.016e+04,1.024e+04
18.5,3.921e+01,4.029e+01,1.216e+04,1.224e+04
20.0,3.957e+01,4.878e+01,1.454e+04,1.462e+04
21.5,4.341e+01,6.220e+01,1.818e+04,1.828e+04
23.1,4.609e+01,7.676e+01,2.226e+04,2.238e+04
24.6,4.893e+01,8.815e+01,2.606e+04,2.619e+04
26.2,5.297e+01,9.002e+01,3.020e+04,3.034e+04
27.7,5.366e+01,9.358e+01,3.629e+04,3.644e+04
29.2,5.569e+01,1.236e+02,4.447e+04,4.465e+04
30.8,6.417e+01,1.832e+02,5.467e+04,5.492e+04
32.3,5.382e+01,2.931e+02,6.718e+04,6.752e+04
33.9,4.877e+01,4.639e+02,8.433e+04,8.484e+04
35.4,8.707e+01,6.504e+02,1.064e+05,1.071e+05
36.9,1.650e+02,8.306e+02,1.343e+05,1.353e+05
38.5,2.359e+02,1.112e+03,1.820e+05,1.834e+05
40.0,2.657e+02,1.550e+03,2.611e+05,2.629e+05
41.6,3.961e+02,2.585e+03,4.017e+05,4.047e+05
43.1,4.979e+02,6.298e+03,6.068e+05,6.136e+05
44.6,2.733e+02,1.157e+04,7.510e+05,7.628e+05
46.2,2.665e+02,1.271e+04,7.715e+05,7.845e+05
47.7,8.716e+02,1.559e+04,6.989e+05,7.154e+05
49.2,2.493e+03,1.317e+04,4.876e+05,5.033e+05
50.8,3.264e+03,4.712e+03,2.574e+05,2.654e+05
52.3,2.203e+03,1.270e+03,1.352e+05,1.387e+05
53.9,8.614e+02,1.710e+03,9.071e+04,9.328e+04
55.4,9.704e+02,1.633e+03,6.844e+04,7.104e+04
56.9,1.849e+03,2.503e+03,8.341e+04,8.777e+04
58.5,3.041e+03,5.812e+03,1.812e+05,1.900e+05
60.0,6.822e+03,1.900e+04,5.077e+05,5.335e+05
61.6,1.276e+04,5.353e+04,1.164e+06,1.230e+06
63.1,1.493e+04,7.896e+04,1.454e+06,1.548e+06
64.6,1.485e+04,8.624e+04,1.381e+06,1.482e+06
66.2,1.392e+04,7.764e+04,1.112e+06,1.204e+06
67.7,1.267e+04,5.372e+04,7.728e+05,8.392e+05
69.3,1.116e+04,3.378e+04,5.472e+05,5.921e+05
70.8,8.871e+03,2.608e+04,4.150e+05,4.500e+05
72.3,9.039e+03,2.727e+04,3.646e+05,4.009e+05
73.9,9.877e+03,3.136e+04,3.254e+05,3.666e+05
75.4,8.921e+03,3.144e+04,2.665e+05,3.068e+05
77.0,7.000e+03,2.964e+04,2.115e+05,2.482e+05
78.5,5.722e+03,2.823e+04,1.693e+05,2.033e+05
80.0,6.292e+03,2.754e+04,1.562e+05,1.901e+05
81.6,5.896e+03,1.291e+04,1.686e+05,1.874e+05
83.1,4.174e+03,2.618e+03,1.818e+05,1.886e+05
84.6,2.601e+03,3.428e+03,1.799e+05,1.859e+05
86.2,1.676e+03,1.291e+04,1.707e+05,1.853e+05
87.7,1.280e+03,2.902e+04,1.597e+05,1.900e+05
89.3,1.241e+03,4.423e+04,1.443e+05,1.898e+05
90.8,1.300e+03,5.270e+04,1.271e+05,1.811e+05
92.3,1.243e+03,5.320e+04,1.107e+05,1.651e+05
93.9,1.013e+03,4.889e+04,9.770e+04,1.476e+05
95.4,7.771e+02,4.441e+04,8.973e+04,1.349e+05
97.0,6.635e+02,4.221e+04,8.498e+04,1.279e+05
98.5,6.456e+02,4.316e+04,8.520e+04,1.290e+05
100.0,7.536e+02,4.911e+04,8.928e+04,1.391e+05
101.6,9.766e+02,5.402e+04,8.505e+04,1.400e+05
103.1,1.264e+03,5.297e+04,7.910e+04,1.333e+05
104.7,1.393e+03,4.904e+04,7.395e+04,1.244e+05
106.2,1.444e+03,5.477e+04,7.714e+04,1.334e+05
107.7,1.748e+03,7.892e+04,9.072e+04,1.714e+05
109.3,2.328e+03,1.095e+05,9.776e+04,2.095e+05
110.8,3.120e+03,1.246e+05,9.414e+04,2.219e+05
112.3,3.760e+03,1.248e+05,8.867e+04,2.172e+05
113.9,4.307e+03,1.274e+05,8.684e+04,2.186e+05
115.4,5.115e+03,1.412e+05,8.750e+04,2.338e+05
117.0,6.415e+03,1.547e+05,8.805e+04,2.492e+05
