freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.999e+01,3.011e+01,4.527e+03,4.577e+03
1.5,6.590e+01,1.134e+02,2.598e+04,2.616e+04
3.0,7.136e+01,1.219e+02,8.345e+03,8.539e+03
4.5,7.124e+01,1.193e+02,3.102e+03,3.293e+03
6.0,6.498e+01,1.251e+02,2.547e+03,2.737e+03
7.5,6.417e+01,1.253e+02,2.158e+03,2.348e+03
8.9,6.580e+01,1.280e+02,2.566e+03,2.759e+03
10.4,7.040e+01,1.301e+02,3.123e+03,3.323e+03
11.9,7.306e+01,1.312e+02,3.850e+03,4.054e+03
13.4,7.246e+01,1.302e+02,4.868e+03,5.071e+03
14.9,6.957e+01,1.364e+02,6.004e+03,6.210e+03
16.4,6.836e+01,1.377e+02,7.271e+03,7.478e+03
17.9,7.082e+01,1.415e+02,8.674e+03,8.886e+03
19.4,7.054e+01,1.285e+02,1.062e+04,1.082e+04
20.9,7.664e+01,1.250e+02,1.271e+04,1.291e+04
22.4,8.198e+01,1.383e+02,1.510e+04,1.532e+04
23.9,7.795e+01,1.375e+02,1.798e+04,1.820e+04
25.3,7.589e+01,1.333e+02,2.214e+04,2.235e+04
26.8,7.324e+01,1.472e+02,2.700e+04,2.722e+04
28.3,7.579e+01,1.453e+02,3.196e+04,3.218e+04
29.8,8.128e+01,1.603e+02,3.880e+04,3.904e+04
31.3,8.715e+01,1.856e+02,4.650e+04,4.678e+04
32.8,8.676e+01,2.107e+02,5.583e+04,5.613e+04
34.3,9.518e+01,3.029e+02,6.677e+04,6.717e+04
35.8,9.727e+01,3.446e+02,8.095e+04,8.139e+04
37.3,9.761e+01,3.659e+02,9.722e+04,9.768e+04
38.8,1.159e+02,5.663e+02,1.191e+05,1.197e+05
40.3,1.326e+02,8.248e+02,1.494e+05,1.504e+05
41.7,1.667e+02,9.599e+02,1.956e+05,1.967e+05
43.2,3.860e+02,1.718e+03,2.565e+05,2.586e+05
44.7,8.487e+02,2.062e+03,3.375e+05,3.404e+05
46.2,1.075e+03,2.251e+03,4.495e+05,4.528e+05
47.7,7.968e+02,2.255e+03,6.491e+05,6.522e+05
49.2,1.161e+03,2.267e+03,1.025e+06,1.029e+06
50.7,3.077e+03,3.176e+03,1.778e+06,1.785e+06
52.2,1.038e+04,6.148e+03,3.277e+06,3.293e+06
53.7,2.093e+04,1.055e+04,4.684e+06,4.716e+06
55.2,2.491e+04,1.190e+04,4.612e+06,4.649e+06
56.7,2.922e+04,1.209e+04,3.662e+06,3.703e+06
