freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.295e+02,4.909e+03,3.000e+01,5.068e+03
1.5,1.231e+02,2.592e+04,1.456e+02,2.619e+04
3.0,8.219e+01,8.379e+03,1.712e+02,8.632e+03
4.5,7.851e+01,3.192e+03,1.792e+02,3.449e+03
6.0,7.520e+01,2.614e+03,1.776e+02,2.866e+03
7.5,7.753e+01,1.909e+03,1.579e+02,2.145e+03
8.9,8.039e+01,2.285e+03,1.662e+02,2.532e+03
10.4,7.831e+01,3.001e+03,1.752e+02,3.254e+03
11.9,7.939e+01,4.024e+03,1.896e+02,4.293e+03
13.4,7.366e+01,5.157e+03,1.935e+02,5.424e+03
14.9,7.528e+01,6.703e+03,1.846e+02,6.962e+03
16.4,8.060e+01,8.579e+03,1.984e+02,8.858e+03
17.9,8.110e+01,1.060e+04,1.822e+02,1.086e+04
19.4,8.811e+01,1.372e+04,1.785e+02,1.399e+04
20.9,1.009e+02,1.771e+04,1.726e+02,1.798e+04
22.4,1.330e+02,2.289e+04,1.711e+02,2.320e+04
23.9,1.659e+02,2.990e+04,1.772e+02,3.024e+04
25.4,2.445e+02,3.973e+04,1.722e+02,4.014e+04
26.8,3.783e+02,5.428e+04,1.581e+02,5.482e+04
28.3,6.710e+02,7.473e+04,1.652e+02,7.557e+04
29.8,1.341e+03,1.072e+05,2.027e+02,1.087e+05
31.3,2.571e+03,1.592e+05,1.990e+02,1.620e+05
32.8,5.580e+03,2.631e+05,2.010e+02,2.689e+05
34.3,1.247e+04,4.654e+05,2.033e+02,4.781e+05
35.8,3.786e+04,1.058e+06,2.315e+02,1.096e+06
37.3,1.355e+05,2.740e+06,3.265e+02,2.876e+06
38.8,2.647e+05,4.206e+06,7.199e+02,4.471e+06
40.3,2.551e+05,3.363e+06,9.675e+02,3.619e+06
41.8,1.967e+05,2.154e+06,8.798e+02,2.352e+06
43.3,1.630e+05,1.408e+06,9.024e+02,1.572e+06
44.7,1.545e+05,9.950e+05,9.280e+02,1.150e+06
46.2,1.583e+05,7.690e+05,9.490e+02,9.282e+05
47.7,1.730e+05,6.410e+05,9.785e+02,8.150e+05
49.2,2.192e+05,5.492e+05,1.380e+03,7.698e+05
50.7,2.764e+05,4.633e+05,2.155e+03,7.418e+05
52.2,2.657e+05,3.577e+05,3.037e+03,6.265e+05
53.7,2.066e+05,2.683e+05,3.197e+03,4.782e+05
55.2,1.527e+05,2.049e+05,2.954e+03,3.606e+05
56.7,1.082e+05,1.610e+05,3.797e+03,2.730e+05
58.2,8.153e+04,1.386e+05,6.303e+03,2.264e+05
59.7,8.197e+04,1.280e+05,9.647e+03,2.196e+05
61.2,1.045e+05,1.137e+05,1.217e+04,2.304e+05
62.6,1.132e+05,8.386e+04,1.262e+04,2.097e+05
64.1,9.683e+04,5.567e+04,1.095e+04,1.635e+05
65.6,7.769e+04,3.847e+04,7.331e+03,1.235e+05
67.1,6.079e+04,2.930e+04,3.824e+03,9.392e+04
68.6,4.778e+04,2.560e+04,2.640e+03,7.601e+04
70.1,3.769e+04,2.644e+04,2.120e+03,6.625e+04
71.6,3.016e+04,2.841e+04,1.671e+03,6.024e+04
73.1,2.474e+04,3.094e+04,1.583e+03,5.726e+04
74.6,2.065e+04,3.518e+04,2.352e+03,5.818e+04
76.1,1.611e+04,4.109e+04,1.978e+03,5.918e+04
77.6,1.255e+04,4.756e+04,1.494e+03,6.160e+04
79.1,1.013e+04,5.156e+04,1.581e+03,6.327e+04
80.5,8.572e+03,5.567e+04,1.727e+03,6.597e+04
82.0,7.232e+03,6.108e+04,1.463e+03,6.978e+04
83.5,6.103e+03,6.354e+04,1.393e+03,7.103e+04
85.0,5.127e+03,6.369e+04,1.940e+03,7.076e+04
