freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.844e+01,5.157e+01,6.089e+02,6.889e+02
1.6,9.070e+01,4.934e+01,3.579e+02,4.980e+02
3.1,9.392e+01,2.862e+01,4.745e+01,1.700e+02
4.7,2.463e+02,3.329e+01,3.798e+02,6.594e+02
6.2,2.920e+02,3.109e+01,1.263e+03,1.586e+03
7.8,1.249e+02,2.773e+01,2.060e+03,2.212e+03
9.4,9.209e+01,2.494e+01,2.963e+03,3.080e+03
10.9,9.096e+01,2.781e+01,4.157e+03,4.276e+03
12.5,9.841e+01,2.899e+01,5.774e+03,5.901e+03
14.0,1.041e+02,4.242e+01,7.561e+03,7.707e+03
15.6,9.668e+01,5.132e+01,8.089e+03,8.237e+03
17.2,9.103e+01,3.646e+01,1.026e+04,1.039e+04
18.7,8.344e+01,4.053e+01,1.295e+04,1.308e+04
20.3,7.295e+01,4.161e+01,1.634e+04,1.645e+04
21.8,6.714e+01,5.262e+01,2.079e+04,2.091e+04
23.4,6.702e+01,6.607e+01,2.607e+04,2.621e+04
25.0,6.837e+01,8.623e+01,3.388e+04,3.404e+04
26.5,6.480e+01,1.289e+02,4.252e+04,4.272e+04
28.1,6.468e+01,2.354e+02,5.242e+04,5.272e+04
29.6,6.942e+01,3.815e+02,6.854e+04,6.899e+04
31.2,7.389e+01,6.209e+02,9.727e+04,9.796e+04
32.8,7.398e+01,1.156e+03,1.448e+05,1.461e+05
34.3,1.088e+02,2.320e+03,1.728e+05,1.752e+05
35.9,1.998e+02,3.223e+03,1.307e+05,1.341e+05
37.4,2.962e+02,3.253e+03,9.928e+04,1.028e+05
39.0,5.397e+02,4.107e+03,1.114e+05,1.161e+05
40.6,8.306e+02,3.773e+03,1.553e+05,1.599e+05
42.1,6.685e+02,3.385e+03,2.468e+05,2.509e+05
43.7,8.616e+02,6.792e+03,4.054e+05,4.131e+05
45.2,2.953e+03,1.575e+04,7.696e+05,7.883e+05
46.8,1.431e+04,3.333e+04,1.640e+06,1.687e+06
48.4,3.040e+04,3.450e+04,2.409e+06,2.474e+06
49.9,2.809e+04,1.691e+04,1.970e+06,2.015e+06
51.5,2.064e+04,9.781e+03,1.234e+06,1.264e+06
53.0,1.013e+04,1.269e+04,7.613e+05,7.841e+05
54.6,4.734e+03,1.097e+04,4.803e+05,4.960e+05
56.2,4.614e+03,6.550e+03,2.939e+05,3.050e+05
57.7,5.194e+03,5.151e+03,1.635e+05,1.739e+05
59.3,4.512e+03,3.217e+03,1.223e+05,1.301e+05
60.8,2.379e+03,1.451e+03,9.018e+04,9.401e+04
62.4,6.805e+02,2.191e+03,5.828e+04,6.115e+04
64.0,3.554e+02,4.974e+03,3.967e+04,4.500e+04
65.5,1.128e+03,1.092e+04,4.145e+04,5.350e+04
67.1,2.524e+03,1.953e+04,7.016e+04,9.221e+04
68.6,2.882e+03,3.644e+04,1.449e+05,1.842e+05
70.2,3.533e+03,9.562e+04,3.410e+05,4.402e+05
71.8,6.082e+03,2.037e+05,7.018e+05,9.116e+05
73.3,8.545e+03,2.772e+05,9.108e+05,1.197e+06
74.9,7.987e+03,2.762e+05,8.266e+05,1.111e+06
76.4,5.459e+03,2.432e+05,6.628e+05,9.115e+05
78.0,5.801e+03,2.100e+05,5.325e+05,7.484e+05
79.5,9.835e+03,1.844e+05,4.458e+05,6.401e+05
81.1,1.559e+04,1.637e+05,3.978e+05,5.770e+05
82.7,2.071e+04,1.421e+05,3.756e+05,5.383e+05
84.2,2.333e+04,1.388e+05,3.722e+05,5.343e+05
85.8,2.441e+04,1.430e+05,3.804e+05,5.478e+05
87.3,2.699e+04,1.298e+05,4.041e+05,5.609e+05
88.9,2.880e+04,1.080e+05,4.084e+05,5.452e+05
90.5,2.810e+04,1.028e+05,3.905e+05,5.213e+05
92.0,2.716e+04,1.037e+05,3.797e+05,5.105e+05
93.6,2.682e+04,1.035e+05,3.747e+05,5.050e+05
95.1,2.521e+04,1.023e+05,3.683e+05,4.957e+05
96.7,2.457e+04,9.191e+04,3.570e+05,4.735e+05
98.3,2.333e+04,7.850e+04,3.417e+05,4.435e+05
99.8,2.274e+04,6.610e+04,3.450e+05,4.338e+05
101.4,2.383e+04,5.496e+04,3.386e+05,4.174e+05
102.9,2.441e+04,4.544e+04,3.300e+05,3.999e+05
104.5,2.165e+04,3.427e+04,2.958e+05,3.518e+05
106.1,2.147e+04,2.573e+04,2.718e+05,3.190e+05
107.6,2.396e+04,2.077e+04,2.792e+05,3.239e+05
109.2,2.602e+04,1.802e+04,2.886e+05,3.326e+05
110.7,2.789e+04,1.617e+04,2.996e+05,3.436e+05
112.3,2.962e+04,1.417e+04,3.167e+05,3.605e+05
113.9,3.189e+04,1.075e+04,3.355e+05,3.781e+05
115.4,3.312e+04,8.270e+03,3.376e+05,3.790e+05
117.0,3.598e+04,7.832e+03,3.529e+05,3.968e+05
118.5,4.224e+04,9.892e+03,3.862e+05,4.383e+05
120.1,5.118e+04,7.626e+03,4.372e+05,4.960e+05
121.7,6.150e+04,5.608e+03,4.767e+05,5.438e+05
123.2,7.194e+04,6.485e+03,5.248e+05,6.033e+05
124.8,8.084e+04,7.851e+03,5.827e+05,6.714e+05
126.3,9.069e+04,9.775e+03,6.494e+05,7.498e+05
127.9,1.113e+05,1.397e+04,7.613e+05,8.865e+05
129.5,1.411e+05,1.964e+04,9.185e+05,1.079e+06
