freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.089e+02,9.648e+02,1.327e+01,1.087e+03
1.5,1.002e+02,5.540e+02,4.153e+01,6.957e+02
3.1,6.528e+01,3.580e+01,4.584e+01,1.469e+02
4.6,5.714e+01,4.059e+02,4.412e+01,5.072e+02
6.1,5.904e+01,1.369e+03,4.047e+01,1.469e+03
7.7,6.303e+01,1.624e+03,4.278e+01,1.730e+03
9.2,6.312e+01,2.392e+03,4.652e+01,2.501e+03
10.7,5.754e+01,3.617e+03,4.601e+01,3.721e+03
12.3,6.253e+01,5.213e+03,4.741e+01,5.323e+03
13.8,6.356e+01,7.062e+03,4.442e+01,7.170e+03
15.3,7.588e+01,9.266e+03,4.678e+01,9.389e+03
16.9,6.770e+01,1.200e+04,4.574e+01,1.211e+04
18.4,7.059e+01,1.566e+04,4.705e+01,1.578e+04
19.9,8.525e+01,2.068e+04,5.450e+01,2.082e+04
21.5,1.118e+02,2.738e+04,5.163e+01,2.754e+04
23.0,1.444e+02,3.581e+04,4.857e+01,3.600e+04
24.5,2.157e+02,4.810e+04,4.979e+01,4.836e+04
26.1,3.397e+02,6.614e+04,4.899e+01,6.653e+04
27.6,7.001e+02,9.361e+04,5.241e+01,9.436e+04
29.1,1.784e+03,1.447e+05,5.596e+01,1.465e+05
30.6,5.302e+03,2.520e+05,8.277e+01,2.574e+05
32.2,1.631e+04,5.046e+05,1.991e+02,5.211e+05
33.7,4.880e+04,1.177e+06,7.717e+02,1.227e+06
35.2,1.256e+05,2.454e+06,2.377e+03,2.582e+06
36.8,1.866e+05,2.935e+06,3.365e+03,3.125e+06
38.3,1.747e+05,2.180e+06,2.570e+03,2.357e+06
39.8,1.505e+05,1.435e+06,1.524e+03,1.587e+06
41.4,1.349e+05,9.822e+05,6.434e+02,1.118e+06
42.9,1.198e+05,6.940e+05,4.183e+02,8.143e+05
44.4,1.066e+05,4.819e+05,6.948e+02,5.892e+05
46.0,1.129e+05,3.753e+05,2.030e+03,4.903e+05
47.5,1.098e+05,3.129e+05,5.141e+03,4.278e+05
49.0,8.892e+04,2.588e+05,8.068e+03,3.558e+05
50.6,7.987e+04,2.200e+05,9.229e+03,3.091e+05
52.1,9.275e+04,2.040e+05,5.304e+03,3.020e+05
53.6,1.073e+05,1.953e+05,2.137e+03,3.048e+05
55.2,1.164e+05,1.880e+05,1.662e+03,3.061e+05
56.7,1.283e+05,1.636e+05,2.522e+03,2.944e+05
58.2,1.287e+05,1.227e+05,2.902e+03,2.543e+05
59.8,1.227e+05,9.530e+04,2.128e+03,2.201e+05
61.3,1.145e+05,7.698e+04,1.863e+03,1.933e+05
62.8,9.342e+04,6.113e+04,2.782e+03,1.573e+05
64.4,6.621e+04,5.113e+04,3.907e+03,1.212e+05
65.9,5.301e+04,4.534e+04,5.249e+03,1.036e+05
67.4,4.685e+04,3.913e+04,6.842e+03,9.283e+04
69.0,4.095e+04,3.070e+04,9.665e+03,8.131e+04
70.5,3.537e+04,2.557e+04,1.510e+04,7.604e+04
72.0,3.084e+04,2.430e+04,1.852e+04,7.365e+04
73.6,2.773e+04,2.443e+04,1.746e+04,6.961e+04
75.1,2.501e+04,2.578e+04,1.268e+04,6.347e+04
76.6,2.037e+04,2.985e+04,8.822e+03,5.904e+04
78.2,1.594e+04,3.701e+04,9.295e+03,6.225e+04
79.7,1.177e+04,4.893e+04,1.369e+04,7.440e+04
81.2,7.263e+03,6.135e+04,2.107e+04,8.968e+04
82.7,3.814e+03,5.811e+04,2.509e+04,8.702e+04
84.3,3.358e+03,4.195e+04,2.609e+04,7.140e+04
85.8,5.864e+03,2.622e+04,2.851e+04,6.060e+04
87.3,1.083e+04,1.518e+04,2.667e+04,5.269e+04
88.9,1.442e+04,9.330e+03,2.133e+04,4.507e+04
90.4,1.530e+04,7.020e+03,1.799e+04,4.030e+04
91.9,1.469e+04,6.702e+03,1.595e+04,3.734e+04
93.5,1.339e+04,6.615e+03,1.377e+04,3.378e+04
95.0,1.197e+04,6.013e+03,1.276e+04,3.074e+04
96.5,9.995e+03,5.470e+03,1.167e+04,2.713e+04
98.1,8.115e+03,5.431e+03,9.573e+03,2.312e+04
99.6,9.150e+03,6.496e+03,9.428e+03,2.507e+04
101.1,9.506e+03,5.909e+03,9.502e+03,2.492e+04
102.7,8.441e+03,5.456e+03,8.105e+03,2.200e+04
