freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.058e+01,2.917e+01,6.562e+02,7.160e+02
1.6,1.191e+02,1.154e+02,5.495e+02,7.840e+02
3.1,1.321e+02,1.456e+02,2.528e+02,5.305e+02
4.7,1.354e+02,1.457e+02,6.036e+02,8.847e+02
6.2,1.353e+02,1.441e+02,1.492e+03,1.771e+03
7.8,1.829e+02,1.402e+02,2.108e+03,2.432e+03
9.3,2.116e+02,1.491e+02,2.981e+03,3.342e+03
10.9,1.942e+02,1.531e+02,4.097e+03,4.444e+03
12.4,1.519e+02,1.520e+02,5.298e+03,5.602e+03
14.0,1.348e+02,1.545e+02,6.668e+03,6.958e+03
15.5,1.434e+02,1.571e+02,8.233e+03,8.534e+03
17.1,1.617e+02,1.516e+02,9.742e+03,1.005e+04
18.6,1.659e+02,1.396e+02,1.195e+04,1.226e+04
20.2,1.891e+02,1.506e+02,1.400e+04,1.434e+04
21.7,2.865e+02,1.679e+02,1.660e+04,1.706e+04
23.3,3.755e+02,1.856e+02,1.962e+04,2.019e+04
24.8,3.033e+02,1.680e+02,2.310e+04,2.357e+04
26.4,2.223e+02,1.729e+02,2.716e+04,2.756e+04
27.9,2.360e+02,1.660e+02,3.197e+04,3.237e+04
29.5,3.185e+02,1.610e+02,3.702e+04,3.750e+04
31.0,3.976e+02,1.724e+02,4.414e+04,4.471e+04
32.6,3.669e+02,1.748e+02,5.234e+04,5.288e+04
34.1,3.930e+02,1.688e+02,6.097e+04,6.153e+04
35.7,4.269e+02,1.700e+02,7.080e+04,7.140e+04
37.2,3.646e+02,1.735e+02,8.376e+04,8.430e+04
38.8,3.371e+02,1.612e+02,1.011e+05,1.016e+05
40.3,3.003e+02,1.779e+02,1.235e+05,1.240e+05
41.9,3.390e+02,1.655e+02,1.508e+05,1.513e+05
43.4,4.102e+02,2.097e+02,1.852e+05,1.858e+05
45.0,4.830e+02,2.679e+02,2.340e+05,2.348e+05
46.5,5.493e+02,2.927e+02,3.055e+05,3.064e+05
48.1,7.727e+02,5.505e+02,4.173e+05,4.187e+05
49.6,1.347e+03,2.729e+03,6.200e+05,6.241e+05
51.2,1.646e+03,8.893e+03,1.006e+06,1.016e+06
52.7,5.769e+03,1.638e+04,1.849e+06,1.871e+06
54.3,2.646e+04,2.460e+04,2.912e+06,2.963e+06
55.8,5.155e+04,2.295e+04,2.850e+06,2.925e+06
57.4,6.803e+04,1.390e+04,2.255e+06,2.337e+06
58.9,7.706e+04,5.941e+03,1.700e+06,1.783e+06
60.5,7.256e+04,1.860e+03,1.243e+06,1.317e+06
62.1,5.763e+04,9.417e+02,9.529e+05,1.011e+06
63.6,3.686e+04,1.099e+03,7.161e+05,7.541e+05
65.2,1.902e+04,1.385e+03,5.055e+05,5.259e+05
66.7,1.110e+04,1.406e+03,3.674e+05,3.799e+05
68.3,1.075e+04,1.322e+03,2.947e+05,3.068e+05
69.8,7.102e+03,9.167e+02,2.383e+05,2.463e+05
71.4,5.454e+03,6.082e+02,1.873e+05,1.933e+05
72.9,5.096e+03,4.993e+02,1.472e+05,1.528e+05
74.5,4.428e+03,8.767e+02,1.235e+05,1.288e+05
76.0,3.182e+03,1.231e+03,1.143e+05,1.187e+05
77.6,1.732e+03,1.525e+03,1.273e+05,1.305e+05
79.1,9.661e+02,2.546e+03,1.747e+05,1.782e+05
80.7,1.051e+03,3.729e+03,2.726e+05,2.774e+05
82.2,1.308e+03,3.681e+03,3.415e+05,3.465e+05
83.8,1.795e+03,3.445e+03,3.284e+05,3.337e+05
85.3,2.262e+03,5.676e+03,2.807e+05,2.886e+05
86.9,2.435e+03,1.015e+04,2.219e+05,2.345e+05
88.4,2.131e+03,1.531e+04,1.684e+05,1.858e+05
90.0,2.036e+03,2.204e+04,1.578e+05,1.819e+05
91.5,1.935e+03,2.536e+04,2.061e+05,2.334e+05
93.1,1.402e+03,2.323e+04,2.671e+05,2.918e+05
94.6,9.972e+02,2.455e+04,2.980e+05,3.235e+05
96.2,1.051e+03,2.707e+04,3.132e+05,3.414e+05
97.7,8.180e+02,2.322e+04,3.085e+05,3.325e+05
99.3,4.003e+02,1.973e+04,2.775e+05,2.976e+05
100.8,1.913e+02,1.978e+04,2.735e+05,2.935e+05
102.4,2.781e+02,1.850e+04,2.869e+05,3.057e+05
103.9,6.954e+02,1.936e+04,2.757e+05,2.958e+05
105.5,1.122e+03,2.234e+04,2.537e+05,2.772e+05
107.0,1.705e+03,2.587e+04,2.398e+05,2.674e+05
108.6,2.085e+03,2.815e+04,2.341e+05,2.643e+05
110.1,2.002e+03,3.029e+04,2.349e+05,2.671e+05
111.7,1.949e+03,3.114e+04,2.289e+05,2.620e+05
113.2,1.759e+03,2.887e+04,2.162e+05,2.468e+05
114.8,1.692e+03,2.781e+04,2.122e+05,2.417e+05
116.3,1.637e+03,2.643e+04,2.046e+05,2.327e+05
117.9,1.374e+03,2.424e+04,1.916e+05,2.172e+05
119.5,1.071e+03,2.244e+04,1.804e+05,2.039e+05
121.0,9.420e+02,2.074e+04,1.699e+05,1.916e+05
122.6,9.198e+02,1.942e+04,1.625e+05,1.828e+05
124.1,7.992e+02,1.830e+04,1.598e+05,1.789e+05
125.7,6.893e+02,1.683e+04,1.510e+05,1.685e+05
127.2,7.159e+02,1.458e+04,1.411e+05,1.564e+05
128.8,8.177e+02,1.218e+04,1.385e+05,1.515e+05
130.3,8.850e+02,1.036e+04,1.346e+05,1.459e+05
131.9,7.999e+02,8.699e+03,1.161e+05,1.256e+05
133.4,3.920e+02,3.681e+03,4.694e+04,5.102e+04
135.0,1.652e+02,5.645e+02,3.966e+03,4.696e+03
136.5,1.604e+02,4.035e+02,2.306e+03,2.870e+03
138.1,1.546e+02,3.611e+02,2.461e+03,2.977e+03
139.6,1.726e+02,4.097e+02,2.582e+03,3.164e+03
141.2,1.603e+02,4.076e+02,2.583e+03,3.151e+03
142.7,1.515e+02,4.203e+02,2.637e+03,3.209e+03
144.3,1.589e+02,5.215e+02,3.054e+03,3.734e+03
145.8,1.672e+02,5.805e+02,3.342e+03,4.090e+03
147.4,1.708e+02,5.746e+02,3.374e+03,4.119e+03
148.9,1.901e+02,6.151e+02,3.484e+03,4.289e+03
150.5,2.493e+02,5.902e+02,3.544e+03,4.383e+03
152.0,2.643e+02,4.996e+02,3.522e+03,4.285e+03
153.6,2.671e+02,4.840e+02,4.179e+03,4.930e+03
155.1,3.647e+02,8.728e+02,6.433e+03,7.671e+03
156.7,6.258e+02,1.916e+03,9.585e+03,1.213e+04
158.2,9.701e+02,2.572e+03,1.301e+04,1.655e+04
159.8,1.471e+03,3.858e+03,1.726e+04,2.258e+04
161.3,2.177e+03,3.924e+03,2.112e+04,2.722e+04
162.9,2.711e+03,2.162e+03,2.239e+04,2.727e+04
164.4,2.764e+03,2.071e+03,1.903e+04,2.387e+04
166.0,2.690e+03,2.476e+03,1.382e+04,1.898e+04
167.5,2.395e+03,4.286e+03,8.966e+03,1.565e+04
169.1,2.428e+03,1.141e+04,8.720e+03,2.256e+04
170.6,2.861e+03,1.871e+04,1.044e+04,3.202e+04
172.2,2.949e+03,1.349e+04,9.425e+03,2.587e+04
173.7,2.722e+03,5.101e+03,7.732e+03,1.556e+04
175.3,2.752e+03,4.151e+03,8.939e+03,1.584e+04
176.8,2.905e+03,3.809e+03,1.089e+04,1.761e+04
178.4,2.700e+03,2.580e+03,1.130e+04,1.658e+04
180.0,2.459e+03,1.555e+03,1.231e+04,1.633e+04
181.5,2.076e+03,1.306e+03,1.289e+04,1.627e+04
183.1,1.561e+03,1.298e+03,1.199e+04,1.484e+04
184.6,1.017e+03,1.576e+03,1.024e+04,1.283e+04
186.2,7.015e+02,2.207e+03,9.302e+03,1.221e+04
187.7,5.856e+02,2.916e+03,9.284e+03,1.279e+04
189.3,6.245e+02,3.473e+03,1.018e+04,1.428e+04
190.8,7.102e+02,3.761e+03,1.128e+04,1.575e+04
192.4,9.427e+02,3.809e+03,1.279e+04,1.754e+04
193.9,1.418e+03,4.322e+03,1.717e+04,2.291e+04
195.5,1.856e+03,4.167e+03,2.029e+04,2.632e+04
197.0,2.108e+03,3.345e+03,2.038e+04,2.583e+04
198.6,2.370e+03,2.872e+03,2.032e+04,2.557e+04
