freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.679e+01,5.882e+02,2.536e+01,6.803e+02
1.5,9.477e+01,3.936e+02,1.272e+02,6.155e+02
3.1,8.072e+01,9.707e+01,1.459e+02,3.237e+02
4.6,8.087e+01,4.457e+02,1.503e+02,6.769e+02
6.2,8.920e+01,1.540e+03,1.541e+02,1.784e+03
7.7,8.480e+01,1.958e+03,1.552e+02,2.198e+03
9.2,7.312e+01,2.285e+03,1.382e+02,2.496e+03
10.8,7.553e+01,3.538e+03,1.406e+02,3.754e+03
12.3,7.341e+01,5.313e+03,1.479e+02,5.534e+03
13.9,7.171e+01,7.410e+03,1.414e+02,7.623e+03
15.4,7.460e+01,9.366e+03,1.581e+02,9.598e+03
16.9,8.223e+01,1.174e+04,1.582e+02,1.198e+04
18.5,9.073e+01,1.515e+04,1.465e+02,1.539e+04
20.0,1.070e+02,1.944e+04,1.463e+02,1.969e+04
21.6,1.178e+02,2.476e+04,1.593e+02,2.504e+04
23.1,1.389e+02,3.131e+04,1.578e+02,3.161e+04
24.7,1.756e+02,3.921e+04,1.595e+02,3.955e+04
26.2,2.350e+02,5.035e+04,1.621e+02,5.075e+04
27.7,3.858e+02,6.641e+04,1.611e+02,6.696e+04
29.3,6.628e+02,9.108e+04,1.624e+02,9.191e+04
30.8,1.109e+03,1.292e+05,1.644e+02,1.305e+05
32.4,2.116e+03,1.932e+05,1.563e+02,1.955e+05
33.9,5.095e+03,3.258e+05,1.661e+02,3.310e+05
35.4,1.456e+04,6.560e+05,1.842e+02,6.707e+05
37.0,4.273e+04,1.375e+06,3.586e+02,1.418e+06
38.5,8.950e+04,2.093e+06,6.499e+02,2.183e+06
40.1,9.571e+04,1.830e+06,6.423e+02,1.927e+06
41.6,6.704e+04,1.186e+06,6.524e+02,1.254e+06
43.1,5.397e+04,8.595e+05,6.352e+02,9.141e+05
44.7,5.054e+04,6.916e+05,4.362e+02,7.426e+05
46.2,5.345e+04,5.658e+05,3.009e+02,6.196e+05
47.8,5.486e+04,4.707e+05,3.195e+02,5.258e+05
49.3,5.303e+04,4.001e+05,3.936e+02,4.535e+05
50.8,5.801e+04,3.495e+05,5.306e+02,4.081e+05
52.4,7.181e+04,3.090e+05,7.673e+02,3.815e+05
53.9,9.858e+04,2.794e+05,9.659e+02,3.789e+05
55.5,1.334e+05,2.380e+05,1.402e+03,3.728e+05
57.0,1.561e+05,1.818e+05,2.711e+03,3.405e+05
58.5,1.538e+05,1.345e+05,5.276e+03,2.936e+05
60.1,1.301e+05,1.035e+05,8.036e+03,2.417e+05
61.6,9.618e+04,8.756e+04,8.972e+03,1.927e+05
63.2,7.487e+04,8.230e+04,9.242e+03,1.664e+05
64.7,6.442e+04,7.477e+04,9.383e+03,1.486e+05
66.3,5.505e+04,6.552e+04,9.079e+03,1.297e+05
67.8,4.667e+04,5.923e+04,9.965e+03,1.159e+05
69.3,4.273e+04,5.656e+04,1.532e+04,1.146e+05
70.9,4.245e+04,5.104e+04,1.188e+04,1.054e+05
72.4,4.688e+04,4.265e+04,6.329e+03,9.586e+04
74.0,5.033e+04,3.282e+04,3.988e+03,8.714e+04
75.5,4.647e+04,2.723e+04,2.319e+03,7.601e+04
77.0,3.776e+04,2.668e+04,1.052e+03,6.550e+04
78.6,2.749e+04,2.999e+04,5.529e+02,5.803e+04
80.1,1.999e+04,3.432e+04,5.844e+02,5.490e+04
81.7,1.659e+04,3.468e+04,8.920e+02,5.217e+04
83.2,1.449e+04,3.538e+04,1.462e+03,5.133e+04
84.7,1.177e+04,3.781e+04,2.061e+03,5.164e+04
86.3,8.825e+03,3.925e+04,2.095e+03,5.017e+04
87.8,6.130e+03,3.913e+04,1.824e+03,4.708e+04
89.4,4.184e+03,4.100e+04,1.911e+03,4.710e+04
90.9,3.392e+03,4.035e+04,1.860e+03,4.561e+04
92.4,2.706e+03,3.778e+04,1.621e+03,4.211e+04
94.0,1.932e+03,3.549e+04,1.473e+03,3.889e+04
95.5,1.299e+03,3.434e+04,1.556e+03,3.719e+04
97.1,1.077e+03,2.974e+04,1.740e+03,3.256e+04
98.6,1.277e+03,2.201e+04,2.225e+03,2.551e+04
100.1,1.890e+03,1.415e+04,3.076e+03,1.912e+04
101.7,2.718e+03,6.788e+03,3.613e+03,1.312e+04
103.2,3.661e+03,2.192e+03,4.299e+03,1.015e+04
104.8,4.930e+03,3.830e+03,3.514e+03,1.227e+04
106.3,5.562e+03,5.966e+03,3.342e+03,1.487e+04
107.9,5.119e+03,6.485e+03,2.435e+03,1.404e+04
109.4,4.464e+03,7.384e+03,2.015e+03,1.386e+04
110.9,3.515e+03,7.391e+03,3.319e+03,1.422e+04
112.5,2.715e+03,6.634e+03,4.763e+03,1.411e+04
114.0,2.264e+03,5.540e+03,6.131e+03,1.393e+04
115.6,2.308e+03,5.992e+03,5.295e+03,1.359e+04
117.1,2.619e+03,5.156e+03,5.779e+03,1.355e+04
118.6,2.640e+03,2.986e+03,8.250e+03,1.388e+04
120.2,2.781e+03,2.222e+03,7.008e+03,1.201e+04
