freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.091e+01,2.520e+01,6.154e+02,6.615e+02
1.6,1.009e+02,1.062e+02,5.169e+02,7.241e+02
3.1,1.240e+02,1.269e+02,2.360e+02,4.869e+02
4.7,1.454e+02,1.273e+02,5.627e+02,8.354e+02
6.2,1.349e+02,1.287e+02,1.480e+03,1.744e+03
7.8,1.406e+02,1.278e+02,2.022e+03,2.290e+03
9.3,1.452e+02,1.343e+02,2.772e+03,3.051e+03
10.9,1.398e+02,1.329e+02,3.951e+03,4.224e+03
12.4,1.411e+02,1.333e+02,5.239e+03,5.514e+03
14.0,1.550e+02,1.524e+02,6.682e+03,6.989e+03
15.5,1.416e+02,1.584e+02,8.394e+03,8.694e+03
17.1,1.408e+02,1.473e+02,1.040e+04,1.069e+04
18.6,1.345e+02,1.408e+02,1.264e+04,1.291e+04
20.2,1.398e+02,1.556e+02,1.497e+04,1.527e+04
21.7,1.752e+02,1.626e+02,1.712e+04,1.746e+04
23.3,1.625e+02,1.483e+02,1.965e+04,1.996e+04
24.8,1.441e+02,1.517e+02,2.273e+04,2.302e+04
26.4,1.450e+02,1.451e+02,2.669e+04,2.698e+04
27.9,1.461e+02,1.290e+02,3.187e+04,3.214e+04
29.5,1.637e+02,1.248e+02,3.696e+04,3.725e+04
31.0,1.831e+02,1.367e+02,4.325e+04,4.357e+04
32.6,1.749e+02,1.441e+02,5.106e+04,5.138e+04
34.1,1.765e+02,1.364e+02,5.971e+04,6.003e+04
35.7,1.843e+02,1.359e+02,6.977e+04,7.009e+04
37.2,1.787e+02,1.344e+02,8.289e+04,8.320e+04
38.8,2.061e+02,1.381e+02,9.958e+04,9.993e+04
40.3,2.082e+02,1.519e+02,1.186e+05,1.190e+05
41.9,2.180e+02,1.730e+02,1.413e+05,1.416e+05
43.4,2.840e+02,1.822e+02,1.714e+05,1.719e+05
45.0,4.246e+02,1.916e+02,2.123e+05,2.129e+05
46.5,5.788e+02,2.221e+02,2.695e+05,2.703e+05
48.1,7.403e+02,2.834e+02,3.596e+05,3.606e+05
49.6,1.137e+03,7.198e+02,5.258e+05,5.276e+05
51.2,1.633e+03,3.470e+03,9.000e+05,9.051e+05
52.8,1.825e+03,6.988e+03,1.768e+06,1.777e+06
54.3,6.157e+03,6.970e+03,2.684e+06,2.697e+06
55.9,1.116e+04,7.274e+03,2.792e+06,2.810e+06
57.4,1.325e+04,9.139e+03,2.374e+06,2.396e+06
59.0,1.397e+04,1.144e+04,1.847e+06,1.873e+06
60.5,1.099e+04,1.392e+04,1.439e+06,1.464e+06
62.1,7.627e+03,1.673e+04,1.118e+06,1.142e+06
63.6,5.176e+03,1.688e+04,8.412e+05,8.633e+05
65.2,3.160e+03,1.424e+04,6.062e+05,6.236e+05
66.7,2.224e+03,1.205e+04,4.499e+05,4.642e+05
