freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.746e+03,1.606e+03,1.309e+03,6.660e+03
1.5,1.712e+04,4.439e+03,6.957e+03,2.852e+04
3.1,1.794e+04,4.147e+03,6.820e+03,2.891e+04
4.6,1.221e+04,4.807e+03,5.161e+03,2.218e+04
6.2,1.048e+04,4.458e+03,4.068e+03,1.900e+04
7.7,1.248e+04,4.876e+03,4.803e+03,2.216e+04
9.3,1.546e+04,5.410e+03,5.721e+03,2.659e+04
10.8,1.306e+04,6.399e+03,3.991e+03,2.345e+04
12.4,1.391e+04,8.407e+03,4.646e+03,2.697e+04
13.9,1.193e+04,1.115e+04,5.705e+03,2.879e+04
15.5,1.451e+04,1.246e+04,6.372e+03,3.334e+04
17.0,1.505e+04,1.428e+04,6.221e+03,3.555e+04
18.6,1.587e+04,1.748e+04,6.428e+03,3.977e+04
20.1,1.541e+04,2.160e+04,6.381e+03,4.339e+04
21.7,1.543e+04,2.648e+04,6.418e+03,4.832e+04
23.2,1.372e+04,3.340e+04,6.411e+03,5.353e+04
24.8,1.234e+04,4.109e+04,4.666e+03,5.809e+04
26.3,1.315e+04,5.388e+04,4.522e+03,7.155e+04
27.8,1.793e+04,7.168e+04,4.456e+03,9.407e+04
29.4,1.281e+04,1.023e+05,4.263e+03,1.194e+05
30.9,1.612e+04,1.523e+05,5.848e+03,1.743e+05
32.5,2.150e+04,2.454e+05,4.606e+03,2.715e+05
34.0,2.626e+04,4.453e+05,4.098e+03,4.756e+05
35.6,5.539e+04,9.300e+05,5.846e+03,9.913e+05
37.1,1.426e+05,1.943e+06,9.294e+03,2.094e+06
38.7,2.707e+05,2.696e+06,1.379e+04,2.981e+06
40.2,3.559e+05,2.347e+06,1.149e+04,2.715e+06
41.8,2.894e+05,1.639e+06,1.115e+04,1.939e+06
43.3,1.990e+05,1.117e+06,6.846e+03,1.323e+06
44.9,1.865e+05,7.940e+05,3.968e+03,9.845e+05
46.4,1.995e+05,6.241e+05,3.865e+03,8.275e+05
48.0,2.126e+05,4.970e+05,5.864e+03,7.155e+05
49.5,2.195e+05,3.882e+05,4.093e+03,6.119e+05
51.1,2.469e+05,3.307e+05,5.450e+03,5.831e+05
52.6,3.912e+05,3.311e+05,8.088e+03,7.305e+05
54.2,5.698e+05,2.969e+05,1.047e+04,8.772e+05
55.7,5.654e+05,2.032e+05,9.724e+03,7.783e+05
57.2,4.195e+05,1.130e+05,9.315e+03,5.418e+05
58.8,2.989e+05,6.637e+04,8.780e+03,3.740e+05
60.3,2.489e+05,4.958e+04,9.897e+03,3.084e+05
61.9,2.061e+05,3.944e+04,1.133e+04,2.568e+05
63.4,1.696e+05,4.080e+04,9.831e+03,2.202e+05
65.0,1.355e+05,4.580e+04,9.642e+03,1.909e+05
66.5,1.079e+05,4.687e+04,7.767e+03,1.626e+05
68.1,8.836e+04,4.759e+04,6.127e+03,1.421e+05
69.6,8.767e+04,4.907e+04,8.149e+03,1.449e+05
71.2,8.594e+04,5.412e+04,6.136e+03,1.462e+05
72.7,7.423e+04,5.844e+04,5.582e+03,1.382e+05
74.3,6.906e+04,6.202e+04,6.290e+03,1.374e+05
75.8,6.747e+04,6.641e+04,8.301e+03,1.422e+05
77.4,6.430e+04,6.706e+04,9.787e+03,1.411e+05
78.9,5.459e+04,7.258e+04,7.696e+03,1.349e+05
80.5,4.226e+04,7.626e+04,6.203e+03,1.247e+05
82.0,3.356e+04,7.244e+04,6.031e+03,1.120e+05
83.5,3.048e+04,6.429e+04,4.535e+03,9.931e+04
85.1,2.733e+04,5.395e+04,3.733e+03,8.502e+04
86.6,2.515e+04,4.233e+04,5.770e+03,7.325e+04
88.2,1.674e+04,3.347e+04,5.128e+03,5.534e+04
89.7,1.676e+04,2.704e+04,6.379e+03,5.018e+04
91.3,1.871e+04,2.352e+04,8.718e+03,5.095e+04
92.8,1.762e+04,1.888e+04,8.856e+03,4.535e+04
94.4,1.611e+04,1.531e+04,8.685e+03,4.011e+04
95.9,2.024e+04,1.293e+04,9.410e+03,4.258e+04
97.5,2.244e+04,1.011e+04,1.022e+04,4.277e+04
99.0,1.743e+04,7.072e+03,8.612e+03,3.312e+04
100.6,1.688e+04,4.633e+03,7.457e+03,2.897e+04
102.1,1.936e+04,3.491e+03,6.595e+03,2.945e+04
103.7,1.893e+04,4.727e+03,7.300e+03,3.095e+04
105.2,1.770e+04,6.810e+03,5.790e+03,3.031e+04
106.8,2.071e+04,9.017e+03,5.985e+03,3.571e+04
108.3,2.568e+04,9.386e+03,9.587e+03,4.466e+04
109.8,2.650e+04,7.833e+03,8.460e+03,4.279e+04
111.4,2.586e+04,6.793e+03,6.979e+03,3.963e+04
112.9,2.122e+04,7.086e+03,6.588e+03,3.490e+04
114.5,2.409e+04,6.929e+03,7.445e+03,3.847e+04
116.0,2.227e+04,5.974e+03,7.999e+03,3.624e+04
117.6,2.069e+04,6.854e+03,7.617e+03,3.516e+04
119.1,2.046e+04,8.378e+03,6.962e+03,3.580e+04
120.7,2.342e+04,8.561e+03,7.226e+03,3.921e+04
122.2,2.237e+04,8.637e+03,6.166e+03,3.717e+04
123.8,2.291e+04,7.909e+03,5.786e+03,3.661e+04
125.3,2.525e+04,7.161e+03,7.298e+03,3.971e+04
126.9,2.229e+04,7.769e+03,6.476e+03,3.654e+04
128.4,1.974e+04,7.908e+03,6.528e+03,3.418e+04
130.0,2.154e+04,7.562e+03,7.537e+03,3.664e+04
131.5,2.276e+04,7.522e+03,7.905e+03,3.818e+04
133.1,1.763e+04,5.106e+03,5.816e+03,2.855e+04
134.6,1.287e+04,2.483e+03,4.068e+03,1.942e+04
136.2,1.418e+04,2.347e+03,4.075e+03,2.060e+04
137.7,1.252e+04,2.316e+03,3.625e+03,1.846e+04
139.2,1.088e+04,1.837e+03,3.381e+03,1.610e+04
140.8,1.025e+04,1.636e+03,3.984e+03,1.587e+04
142.3,1.100e+04,1.721e+03,5.103e+03,1.782e+04
143.9,1.017e+04,2.328e+03,4.139e+03,1.663e+04
145.4,1.194e+04,2.360e+03,4.428e+03,1.872e+04
147.0,1.674e+04,1.675e+03,6.799e+03,2.522e+04
148.5,1.450e+04,1.561e+03,5.940e+03,2.200e+04
150.1,1.174e+04,1.803e+03,4.619e+03,1.816e+04
151.6,1.151e+04,2.674e+03,5.445e+03,1.962e+04
153.2,1.186e+04,2.976e+03,7.359e+03,2.219e+04
154.7,1.054e+04,2.180e+03,6.312e+03,1.903e+04
156.3,1.128e+04,1.820e+03,6.784e+03,1.989e+04
157.8,1.459e+04,1.921e+03,8.391e+03,2.491e+04
159.4,1.349e+04,2.369e+03,8.995e+03,2.485e+04
160.9,1.099e+04,3.341e+03,8.396e+03,2.273e+04
162.5,1.551e+04,9.372e+03,1.188e+04,3.677e+04
164.0,1.823e+04,1.245e+04,1.274e+04,4.342e+04
165.5,1.945e+04,2.004e+04,1.502e+04,5.451e+04
167.1,1.768e+04,1.561e+04,1.395e+04,4.724e+04
168.6,1.600e+04,1.500e+04,1.553e+04,4.652e+04
170.2,2.384e+04,4.039e+04,3.021e+04,9.443e+04
171.7,1.582e+04,2.030e+04,1.564e+04,5.176e+04
173.3,1.622e+04,2.299e+04,2.245e+04,6.165e+04
174.8,3.332e+04,9.053e+04,8.224e+04,2.061e+05
176.4,2.950e+04,8.356e+04,7.238e+04,1.854e+05
177.9,1.604e+04,2.587e+04,2.192e+04,6.383e+04
179.5,1.212e+04,3.577e+03,6.124e+03,2.182e+04
181.0,9.579e+03,1.809e+03,4.759e+03,1.615e+04
182.6,8.507e+03,2.367e+03,4.367e+03,1.524e+04
184.1,9.268e+03,2.346e+03,4.222e+03,1.584e+04
185.7,9.961e+03,2.283e+03,4.248e+03,1.649e+04
187.2,1.200e+04,2.401e+03,3.924e+03,1.832e+04
188.8,9.846e+03,2.750e+03,3.708e+03,1.630e+04
190.3,8.692e+03,3.781e+03,3.183e+03,1.566e+04
191.8,8.364e+03,3.781e+03,4.271e+03,1.642e+04
193.4,8.769e+03,3.045e+03,4.768e+03,1.658e+04
194.9,1.010e+04,3.183e+03,5.474e+03,1.876e+04
196.5,9.278e+03,3.033e+03,4.455e+03,1.677e+04
198.0,8.220e+03,4.443e+03,3.145e+03,1.581e+04
199.6,6.927e+03,3.453e+03,2.364e+03,1.274e+04
