freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.016e+01,6.289e+02,2.775e+01,7.268e+02
1.6,1.036e+02,4.383e+02,1.498e+02,6.916e+02
3.1,9.229e+01,1.272e+02,1.968e+02,4.163e+02
4.7,9.082e+01,5.107e+02,2.085e+02,8.099e+02
6.2,7.801e+01,1.675e+03,1.972e+02,1.950e+03
7.8,8.205e+01,2.044e+03,2.045e+02,2.331e+03
9.3,1.130e+02,2.407e+03,1.757e+02,2.696e+03
10.9,1.996e+02,3.514e+03,1.862e+02,3.900e+03
12.5,1.148e+02,5.043e+03,2.095e+02,5.368e+03
14.0,8.949e+01,6.934e+03,2.025e+02,7.226e+03
15.6,9.598e+01,8.846e+03,1.961e+02,9.138e+03
17.1,9.487e+01,1.132e+04,2.198e+02,1.164e+04
18.7,9.977e+01,1.414e+04,2.305e+02,1.447e+04
20.2,9.741e+01,1.727e+04,2.263e+02,1.759e+04
21.8,1.121e+02,2.143e+04,2.030e+02,2.175e+04
23.4,1.219e+02,2.714e+04,1.909e+02,2.745e+04
24.9,1.411e+02,3.424e+04,1.864e+02,3.457e+04
26.5,1.618e+02,4.308e+04,1.671e+02,4.340e+04
28.0,1.945e+02,5.454e+04,1.553e+02,5.489e+04
29.6,2.691e+02,7.266e+04,1.510e+02,7.308e+04
31.1,4.671e+02,1.031e+05,1.551e+02,1.037e+05
32.7,7.250e+02,1.506e+05,1.665e+02,1.515e+05
34.3,1.414e+03,2.356e+05,1.772e+02,2.372e+05
35.8,4.540e+03,4.297e+05,1.853e+02,4.344e+05
37.4,2.028e+04,1.002e+06,2.052e+02,1.023e+06
38.9,6.205e+04,2.064e+06,3.013e+02,2.126e+06
40.5,8.433e+04,2.263e+06,3.433e+02,2.348e+06
42.0,6.881e+04,1.558e+06,3.066e+02,1.627e+06
43.6,5.741e+04,1.007e+06,2.731e+02,1.065e+06
45.2,5.112e+04,7.318e+05,2.321e+02,7.832e+05
46.7,4.296e+04,5.490e+05,1.880e+02,5.922e+05
48.3,3.343e+04,4.237e+05,2.090e+02,4.573e+05
49.8,2.928e+04,3.520e+05,2.634e+02,3.815e+05
51.4,3.048e+04,3.108e+05,2.734e+02,3.416e+05
52.9,3.735e+04,2.807e+05,2.777e+02,3.183e+05
54.5,5.278e+04,2.634e+05,3.327e+02,3.166e+05
56.1,8.248e+04,2.559e+05,4.238e+02,3.388e+05
57.6,1.341e+05,2.496e+05,8.076e+02,3.845e+05
59.2,1.778e+05,2.053e+05,1.939e+03,3.851e+05
60.7,1.721e+05,1.458e+05,3.461e+03,3.213e+05
62.3,1.318e+05,1.161e+05,4.321e+03,2.522e+05
63.8,1.043e+05,1.061e+05,4.654e+03,2.150e+05
65.4,1.027e+05,9.026e+04,4.030e+03,1.970e+05
67.0,1.040e+05,6.933e+04,4.584e+03,1.779e+05
68.5,9.795e+04,5.268e+04,7.646e+03,1.583e+05
70.1,7.746e+04,3.954e+04,7.611e+03,1.246e+05
71.6,5.923e+04,3.497e+04,7.031e+03,1.012e+05
73.2,5.273e+04,3.132e+04,6.081e+03,9.013e+04
74.7,4.668e+04,2.781e+04,4.516e+03,7.901e+04
76.3,3.844e+04,2.786e+04,2.799e+03,6.910e+04
77.9,3.311e+04,2.790e+04,1.257e+03,6.227e+04
79.4,2.898e+04,2.769e+04,4.397e+02,5.712e+04
81.0,2.336e+04,3.097e+04,3.270e+02,5.466e+04
82.5,1.790e+04,3.749e+04,3.977e+02,5.579e+04
84.1,1.415e+04,4.157e+04,3.296e+02,5.605e+04
85.6,1.112e+04,4.327e+04,3.654e+02,5.476e+04
87.2,8.480e+03,4.269e+04,4.913e+02,5.166e+04
88.8,6.553e+03,4.205e+04,5.752e+02,4.918e+04
