freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.973e+01,1.775e+01,6.315e+02,6.690e+02
1.5,6.735e+01,7.915e+01,4.333e+02,5.798e+02
3.1,8.971e+01,8.732e+01,1.403e+02,3.173e+02
4.6,9.952e+01,7.801e+01,4.755e+02,6.530e+02
6.2,1.050e+02,7.854e+01,1.373e+03,1.556e+03
7.7,1.202e+02,8.718e+01,1.875e+03,2.083e+03
9.2,1.060e+02,8.070e+01,2.682e+03,2.869e+03
10.8,9.667e+01,9.344e+01,3.867e+03,4.058e+03
12.3,1.108e+02,8.724e+01,5.032e+03,5.230e+03
13.9,1.042e+02,8.352e+01,6.394e+03,6.581e+03
15.4,1.058e+02,8.774e+01,7.916e+03,8.109e+03
17.0,1.205e+02,9.941e+01,1.001e+04,1.023e+04
18.5,1.133e+02,9.808e+01,1.271e+04,1.292e+04
20.0,1.067e+02,9.127e+01,1.508e+04,1.527e+04
21.6,9.781e+01,9.428e+01,1.713e+04,1.733e+04
23.1,1.143e+02,1.118e+02,1.981e+04,2.004e+04
24.7,1.249e+02,1.164e+02,2.293e+04,2.317e+04
26.2,1.106e+02,1.185e+02,2.656e+04,2.679e+04
27.7,1.338e+02,1.233e+02,3.172e+04,3.198e+04
29.3,1.311e+02,1.366e+02,3.752e+04,3.779e+04
30.8,1.312e+02,1.625e+02,4.376e+04,4.406e+04
32.4,1.300e+02,1.622e+02,5.164e+04,5.193e+04
33.9,1.295e+02,1.778e+02,6.092e+04,6.123e+04
35.4,1.490e+02,2.053e+02,7.168e+04,7.204e+04
37.0,1.378e+02,2.303e+02,8.260e+04,8.297e+04
38.5,1.245e+02,2.890e+02,9.744e+04,9.785e+04
40.1,1.310e+02,3.989e+02,1.176e+05,1.182e+05
41.6,1.551e+02,6.520e+02,1.438e+05,1.446e+05
43.1,2.217e+02,8.770e+02,1.798e+05,1.809e+05
44.7,2.360e+02,9.949e+02,2.276e+05,2.288e+05
46.2,2.005e+02,1.585e+03,3.000e+05,3.018e+05
47.8,3.600e+02,3.007e+03,4.146e+05,4.180e+05
49.3,1.057e+03,5.943e+03,6.233e+05,6.303e+05
50.9,2.484e+03,1.073e+04,1.040e+06,1.053e+06
52.4,5.201e+03,1.298e+04,1.888e+06,1.906e+06
53.9,2.006e+04,2.046e+04,3.119e+06,3.160e+06
55.5,4.608e+04,2.884e+04,3.721e+06,3.796e+06
57.0,5.352e+04,2.349e+04,3.252e+06,3.329e+06
58.6,4.431e+04,1.255e+04,2.310e+06,2.367e+06
60.1,3.551e+04,5.060e+03,1.598e+06,1.639e+06
61.6,2.411e+04,2.093e+03,1.243e+06,1.269e+06
63.2,1.351e+04,2.262e+03,9.794e+05,9.952e+05
64.7,6.330e+03,2.798e+03,7.147e+05,7.238e+05
66.3,2.812e+03,2.589e+03,5.131e+05,5.185e+05
67.8,1.260e+03,2.231e+03,3.750e+05,3.784e+05
69.3,1.767e+03,2.984e+03,2.872e+05,2.920e+05
70.9,1.372e+03,2.549e+03,2.132e+05,2.171e+05
72.4,5.993e+02,2.120e+03,1.592e+05,1.619e+05
74.0,4.752e+02,2.089e+03,1.182e+05,1.207e+05
75.5,4.661e+02,2.088e+03,8.608e+04,8.863e+04
