freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.075e+01,4.083e+01,4.559e+02,5.375e+02
1.5,1.664e+02,4.042e+01,2.847e+02,4.915e+02
3.0,1.608e+02,2.262e+01,4.846e+01,2.319e+02
4.5,1.501e+02,2.218e+01,3.239e+02,4.961e+02
6.1,1.726e+02,2.575e+01,1.085e+03,1.284e+03
7.6,1.737e+02,2.375e+01,1.775e+03,1.972e+03
9.1,1.823e+02,2.457e+01,2.622e+03,2.829e+03
10.6,1.789e+02,2.782e+01,3.606e+03,3.812e+03
12.1,1.594e+02,3.348e+01,4.721e+03,4.914e+03
13.6,1.673e+02,3.842e+01,6.094e+03,6.300e+03
15.1,1.804e+02,4.225e+01,7.955e+03,8.178e+03
16.6,1.929e+02,4.924e+01,1.009e+04,1.033e+04
18.2,1.803e+02,6.032e+01,1.216e+04,1.240e+04
19.7,1.827e+02,7.104e+01,1.472e+04,1.497e+04
21.2,1.705e+02,8.235e+01,1.828e+04,1.853e+04
22.7,1.710e+02,1.005e+02,2.226e+04,2.254e+04
24.2,1.854e+02,1.028e+02,2.607e+04,2.635e+04
25.7,1.964e+02,1.017e+02,3.074e+04,3.104e+04
27.2,1.962e+02,1.268e+02,3.680e+04,3.712e+04
28.8,1.721e+02,1.857e+02,4.475e+04,4.510e+04
30.3,1.555e+02,2.887e+02,5.487e+04,5.532e+04
31.8,1.791e+02,4.755e+02,6.858e+04,6.923e+04
33.3,2.291e+02,8.226e+02,8.654e+04,8.759e+04
34.8,3.591e+02,1.296e+03,1.090e+05,1.107e+05
36.3,4.847e+02,1.900e+03,1.402e+05,1.426e+05
37.8,6.296e+02,2.972e+03,1.998e+05,2.034e+05
39.4,1.493e+03,6.928e+03,2.984e+05,3.068e+05
40.9,3.778e+03,1.329e+04,4.562e+05,4.733e+05
42.4,5.521e+03,1.202e+04,5.945e+05,6.120e+05
43.9,7.811e+03,1.006e+04,5.313e+05,5.492e+05
45.4,8.807e+03,8.159e+03,3.894e+05,4.063e+05
46.9,9.704e+03,4.491e+03,2.784e+05,2.926e+05
48.4,8.091e+03,2.380e+03,2.045e+05,2.150e+05
49.9,5.671e+03,1.871e+03,1.443e+05,1.519e+05
