freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.713e+01,1.921e+01,7.599e+02,7.963e+02
1.6,8.181e+01,7.710e+01,5.577e+02,7.166e+02
3.1,9.422e+01,8.393e+01,1.743e+02,3.525e+02
4.7,9.020e+01,9.308e+01,5.420e+02,7.253e+02
6.2,9.118e+01,9.767e+01,1.341e+03,1.530e+03
7.8,8.493e+01,9.450e+01,1.861e+03,2.041e+03
9.3,8.910e+01,8.607e+01,2.649e+03,2.824e+03
10.9,9.290e+01,9.563e+01,3.662e+03,3.850e+03
12.4,8.839e+01,9.280e+01,4.698e+03,4.879e+03
14.0,9.290e+01,8.120e+01,5.917e+03,6.091e+03
15.5,7.979e+01,8.845e+01,7.437e+03,7.605e+03
17.1,8.569e+01,8.600e+01,9.057e+03,9.229e+03
18.6,8.144e+01,8.595e+01,1.091e+04,1.108e+04
20.2,8.764e+01,9.236e+01,1.291e+04,1.309e+04
21.7,8.773e+01,1.038e+02,1.468e+04,1.487e+04
23.3,9.225e+01,1.022e+02,1.701e+04,1.721e+04
24.8,9.538e+01,1.022e+02,1.971e+04,1.991e+04
26.4,9.103e+01,1.049e+02,2.279e+04,2.299e+04
27.9,9.213e+01,1.050e+02,2.629e+04,2.649e+04
29.5,1.080e+02,1.201e+02,3.049e+04,3.072e+04
31.0,1.077e+02,1.318e+02,3.571e+04,3.595e+04
32.6,9.777e+01,1.311e+02,4.221e+04,4.244e+04
34.1,1.029e+02,1.378e+02,4.943e+04,4.967e+04
35.7,1.030e+02,1.534e+02,5.832e+04,5.858e+04
37.2,1.132e+02,1.935e+02,6.817e+04,6.848e+04
38.8,1.201e+02,2.087e+02,8.199e+04,8.232e+04
40.3,1.351e+02,2.877e+02,9.976e+04,1.002e+05
41.9,1.212e+02,4.690e+02,1.220e+05,1.226e+05
43.4,1.127e+02,7.066e+02,1.498e+05,1.506e+05
45.0,1.602e+02,8.552e+02,1.843e+05,1.854e+05
46.5,2.251e+02,8.454e+02,2.317e+05,2.328e+05
48.1,2.779e+02,1.051e+03,3.017e+05,3.030e+05
49.6,3.466e+02,1.671e+03,4.152e+05,4.172e+05
51.2,5.012e+02,2.800e+03,6.009e+05,6.042e+05
52.7,1.405e+03,5.877e+03,9.593e+05,9.666e+05
54.3,6.894e+03,1.287e+04,1.723e+06,1.743e+06
55.8,1.677e+04,1.507e+04,3.260e+06,3.291e+06
57.4,1.709e+04,9.264e+03,4.428e+06,4.455e+06
58.9,1.320e+04,3.858e+03,3.569e+06,3.586e+06
60.5,1.065e+04,1.160e+03,2.582e+06,2.594e+06
62.0,8.258e+03,4.281e+02,1.840e+06,1.848e+06
63.6,5.789e+03,7.331e+02,1.213e+06,1.219e+06
65.1,3.432e+03,9.453e+02,7.565e+05,7.608e+05
66.7,1.897e+03,6.802e+02,4.765e+05,4.791e+05
68.2,9.791e+02,3.416e+02,3.407e+05,3.420e+05
69.8,5.468e+02,4.176e+02,2.797e+05,2.806e+05
71.3,3.416e+02,1.065e+03,2.231e+05,2.245e+05
72.9,3.323e+02,2.874e+03,1.673e+05,1.705e+05
74.5,4.964e+02,5.623e+03,1.269e+05,1.330e+05
76.0,4.223e+02,7.912e+03,1.047e+05,1.131e+05
77.6,4.357e+02,1.035e+04,9.389e+04,1.047e+05
79.1,4.621e+02,1.185e+04,8.092e+04,9.324e+04
80.7,4.044e+02,1.105e+04,6.542e+04,7.687e+04
82.2,4.331e+02,8.850e+03,6.796e+04,7.724e+04
