freq,psd_x,psd_y,psd_z,psd_xyz
0.0,8.325e+01,6.271e+02,2.622e+01,7.366e+02
1.5,1.157e+02,4.027e+02,1.247e+02,6.431e+02
3.1,9.192e+01,9.848e+01,1.379e+02,3.283e+02
4.6,8.157e+01,4.700e+02,1.221e+02,6.737e+02
6.2,8.295e+01,1.472e+03,1.557e+02,1.710e+03
7.7,8.971e+01,1.685e+03,1.562e+02,1.930e+03
9.3,9.126e+01,2.194e+03,1.393e+02,2.425e+03
10.8,9.682e+01,3.235e+03,1.337e+02,3.466e+03
12.4,9.410e+01,4.619e+03,1.284e+02,4.842e+03
13.9,9.391e+01,6.493e+03,1.227e+02,6.710e+03
15.5,9.392e+01,8.478e+03,1.335e+02,8.705e+03
17.0,9.566e+01,1.052e+04,1.381e+02,1.076e+04
18.6,9.719e+01,1.288e+04,1.247e+02,1.310e+04
20.1,1.197e+02,1.583e+04,1.253e+02,1.607e+04
21.7,1.377e+02,1.938e+04,1.302e+02,1.965e+04
23.2,1.541e+02,2.354e+04,1.407e+02,2.383e+04
24.8,1.857e+02,2.865e+04,1.386e+02,2.897e+04
26.3,2.153e+02,3.503e+04,1.311e+02,3.538e+04
27.9,2.802e+02,4.361e+04,1.353e+02,4.402e+04
29.4,4.260e+02,5.570e+04,1.326e+02,5.626e+04
31.0,6.497e+02,7.468e+04,1.262e+02,7.546e+04
32.5,1.141e+03,1.050e+05,1.321e+02,1.063e+05
34.1,2.044e+03,1.526e+05,1.372e+02,1.548e+05
35.6,4.153e+03,2.359e+05,1.655e+02,2.402e+05
37.2,9.944e+03,4.213e+05,2.424e+02,4.314e+05
38.7,3.348e+04,9.402e+05,5.728e+02,9.742e+05
40.3,9.505e+04,1.929e+06,1.581e+03,2.026e+06
41.8,1.370e+05,2.293e+06,2.481e+03,2.433e+06
43.4,1.258e+05,1.787e+06,2.095e+03,1.915e+06
44.9,9.967e+04,1.254e+06,1.247e+03,1.355e+06
46.5,8.168e+04,9.190e+05,6.043e+02,1.001e+06
48.0,7.233e+04,7.090e+05,3.927e+02,7.817e+05
49.6,7.225e+04,5.725e+05,4.408e+02,6.452e+05
51.1,7.650e+04,4.697e+05,4.641e+02,5.467e+05
52.7,8.937e+04,3.980e+05,4.906e+02,4.879e+05
54.2,1.199e+05,3.530e+05,5.895e+02,4.735e+05
55.8,1.519e+05,2.945e+05,7.123e+02,4.471e+05
57.3,1.510e+05,2.207e+05,8.574e+02,3.725e+05
58.9,1.263e+05,1.689e+05,1.172e+03,2.964e+05
60.4,1.103e+05,1.344e+05,1.670e+03,2.464e+05
62.0,1.014e+05,1.061e+05,1.876e+03,2.094e+05
63.5,9.496e+04,8.582e+04,1.441e+03,1.822e+05
65.1,8.967e+04,6.816e+04,7.178e+02,1.585e+05
66.6,8.421e+04,5.561e+04,5.099e+02,1.403e+05
68.2,7.678e+04,4.737e+04,1.416e+03,1.256e+05
69.7,6.799e+04,4.165e+04,3.232e+03,1.129e+05
71.3,5.916e+04,3.730e+04,2.841e+03,9.930e+04
72.8,5.894e+04,3.318e+04,2.660e+03,9.478e+04
74.4,6.358e+04,3.114e+04,2.783e+03,9.751e+04
75.9,6.449e+04,3.226e+04,2.148e+03,9.890e+04
77.5,5.999e+04,3.577e+04,1.507e+03,9.726e+04
79.0,5.265e+04,4.309e+04,1.211e+03,9.695e+04
80.6,4.629e+04,5.165e+04,8.527e+02,9.879e+04
82.1,4.000e+04,5.880e+04,5.035e+02,9.930e+04
83.7,3.297e+04,6.502e+04,2.867e+02,9.829e+04
85.2,2.370e+04,6.944e+04,2.706e+02,9.341e+04
86.7,1.404e+04,6.681e+04,3.598e+02,8.121e+04
88.3,8.687e+03,6.125e+04,5.421e+02,7.048e+04
89.8,6.630e+03,5.621e+04,7.296e+02,6.357e+04
91.4,6.227e+03,5.068e+04,8.266e+02,5.774e+04
92.9,5.006e+03,5.184e+04,8.849e+02,5.773e+04
94.5,3.963e+03,5.558e+04,9.297e+02,6.047e+04
96.0,3.875e+03,5.594e+04,1.206e+03,6.102e+04
97.6,3.961e+03,4.879e+04,1.822e+03,5.457e+04
99.1,3.828e+03,3.694e+04,2.403e+03,4.317e+04
100.7,3.398e+03,2.918e+04,2.727e+03,3.531e+04
102.2,2.963e+03,2.332e+04,2.959e+03,2.924e+04
103.8,2.893e+03,1.576e+04,3.312e+03,2.197e+04
105.3,3.316e+03,9.809e+03,3.165e+03,1.629e+04
106.9,4.419e+03,8.086e+03,3.632e+03,1.614e+04
108.4,5.976e+03,8.230e+03,4.698e+03,1.890e+04
110.0,6.871e+03,7.794e+03,5.563e+03,2.023e+04
111.5,7.245e+03,6.939e+03,6.108e+03,2.029e+04
113.1,6.641e+03,6.169e+03,4.991e+03,1.780e+04
114.6,6.028e+03,5.752e+03,3.592e+03,1.537e+04
116.2,5.852e+03,4.751e+03,2.722e+03,1.333e+04
117.7,5.689e+03,3.489e+03,1.899e+03,1.108e+04
119.3,5.703e+03,2.296e+03,2.306e+03,1.030e+04
120.8,5.681e+03,1.592e+03,2.744e+03,1.002e+04
122.4,5.505e+03,1.283e+03,2.305e+03,9.093e+03
123.9,5.551e+03,1.100e+03,2.441e+03,9.092e+03
125.5,5.404e+03,1.069e+03,2.830e+03,9.303e+03
127.0,5.284e+03,1.247e+03,3.238e+03,9.769e+03
128.6,4.808e+03,1.342e+03,2.646e+03,8.795e+03
130.1,4.480e+03,1.395e+03,2.356e+03,8.231e+03
131.7,3.555e+03,1.297e+03,2.203e+03,7.054e+03
133.2,1.553e+03,7.378e+02,1.675e+03,3.966e+03
134.8,4.050e+02,8.061e+02,2.980e+03,4.191e+03
136.3,3.522e+02,3.062e+03,1.169e+04,1.511e+04
137.9,4.035e+02,7.252e+03,1.526e+04,2.292e+04
139.4,4.219e+02,1.097e+04,1.644e+04,2.783e+04
141.0,4.030e+02,1.441e+04,1.575e+04,3.056e+04
142.5,4.827e+02,3.250e+04,2.969e+04,6.267e+04
144.1,3.475e+02,1.428e+04,1.439e+04,2.901e+04
145.6,2.252e+02,1.396e+03,1.798e+03,3.419e+03
147.2,2.219e+02,4.788e+02,6.818e+02,1.382e+03
148.7,2.213e+02,4.506e+02,3.794e+02,1.051e+03
150.3,2.211e+02,5.112e+02,3.406e+02,1.073e+03
151.8,2.298e+02,5.399e+02,3.172e+02,1.087e+03
153.4,2.432e+02,6.036e+02,3.362e+02,1.183e+03
154.9,2.471e+02,5.716e+02,3.105e+02,1.129e+03
156.5,2.467e+02,6.833e+02,2.723e+02,1.202e+03
158.0,2.274e+02,8.652e+02,3.020e+02,1.395e+03
159.6,2.161e+02,1.039e+03,4.004e+02,1.655e+03
161.1,1.814e+02,1.060e+03,5.006e+02,1.742e+03
162.7,1.664e+02,8.614e+02,4.674e+02,1.495e+03
164.2,1.735e+02,5.800e+02,4.319e+02,1.185e+03
165.8,1.637e+02,4.416e+02,3.620e+02,9.673e+02
167.3,1.691e+02,3.301e+02,2.883e+02,7.875e+02
168.9,1.643e+02,2.709e+02,2.472e+02,6.825e+02
170.4,1.640e+02,2.775e+02,2.137e+02,6.551e+02
171.9,1.639e+02,2.335e+02,1.935e+02,5.908e+02
173.5,1.608e+02,2.000e+02,1.762e+02,5.370e+02
175.0,1.572e+02,1.775e+02,1.963e+02,5.309e+02
176.6,1.512e+02,1.622e+02,2.188e+02,5.322e+02
178.1,1.665e+02,1.534e+02,2.184e+02,5.384e+02
179.7,1.856e+02,1.668e+02,2.636e+02,6.160e+02
181.2,2.105e+02,1.798e+02,2.908e+02,6.811e+02
182.8,2.216e+02,1.748e+02,3.014e+02,6.977e+02
184.3,2.299e+02,1.712e+02,2.894e+02,6.905e+02
185.9,2.090e+02,1.676e+02,2.322e+02,6.088e+02
187.4,1.915e+02,1.485e+02,2.155e+02,5.555e+02
189.0,1.661e+02,1.508e+02,1.960e+02,5.129e+02
190.5,2.062e+02,1.621e+02,2.268e+02,5.952e+02
