freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.010e+02,7.160e+02,1.549e+01,8.325e+02
1.6,9.785e+01,4.160e+02,3.509e+01,5.489e+02
3.1,5.883e+01,3.604e+01,3.400e+01,1.289e+02
4.7,5.843e+01,4.469e+02,3.404e+01,5.394e+02
6.2,5.803e+01,1.278e+03,3.850e+01,1.374e+03
7.8,6.086e+01,1.597e+03,3.662e+01,1.694e+03
9.3,5.526e+01,2.493e+03,3.535e+01,2.584e+03
10.9,4.820e+01,3.655e+03,3.455e+01,3.738e+03
12.4,5.085e+01,5.168e+03,3.437e+01,5.253e+03
14.0,4.963e+01,7.141e+03,3.569e+01,7.227e+03
15.6,4.398e+01,9.294e+03,3.413e+01,9.372e+03
17.1,4.021e+01,1.167e+04,3.417e+01,1.174e+04
18.7,4.107e+01,1.457e+04,3.203e+01,1.464e+04
20.2,5.299e+01,1.894e+04,3.363e+01,1.903e+04
21.8,6.207e+01,2.455e+04,3.468e+01,2.465e+04
23.3,9.259e+01,3.126e+04,3.568e+01,3.139e+04
24.9,1.502e+02,4.056e+04,3.771e+01,4.075e+04
26.4,2.249e+02,5.426e+04,4.772e+01,5.453e+04
28.0,4.044e+02,7.387e+04,5.887e+01,7.433e+04
29.6,7.633e+02,1.021e+05,6.290e+01,1.029e+05
31.1,1.341e+03,1.472e+05,7.212e+01,1.486e+05
32.7,2.872e+03,2.297e+05,9.291e+01,2.326e+05
34.2,9.267e+03,4.251e+05,2.287e+02,4.346e+05
35.8,4.788e+04,9.943e+05,1.432e+03,1.044e+06
37.3,1.870e+05,2.006e+06,8.218e+03,2.202e+06
38.9,3.080e+05,2.391e+06,1.699e+04,2.716e+06
40.5,2.822e+05,1.926e+06,1.478e+04,2.223e+06
42.0,2.274e+05,1.430e+06,7.298e+03,1.665e+06
43.6,1.617e+05,9.826e+05,2.317e+03,1.147e+06
45.1,1.282e+05,6.642e+05,8.296e+02,7.932e+05
46.7,1.324e+05,4.938e+05,2.659e+03,6.289e+05
48.2,1.314e+05,4.104e+05,6.263e+03,5.480e+05
49.8,1.162e+05,3.490e+05,8.083e+03,4.733e+05
51.3,1.160e+05,2.963e+05,9.044e+03,4.213e+05
52.9,1.387e+05,2.527e+05,6.799e+03,3.983e+05
54.5,1.450e+05,2.118e+05,3.674e+03,3.605e+05
56.0,1.289e+05,1.806e+05,3.105e+03,3.127e+05
57.6,1.174e+05,1.448e+05,2.336e+03,2.646e+05
59.1,1.161e+05,1.080e+05,1.551e+03,2.257e+05
60.7,1.023e+05,8.044e+04,1.040e+03,1.837e+05
62.2,7.885e+04,6.840e+04,6.656e+02,1.479e+05
63.8,5.990e+04,6.415e+04,1.078e+03,1.251e+05
65.3,4.939e+04,5.769e+04,2.389e+03,1.095e+05
66.9,4.320e+04,4.674e+04,4.392e+03,9.434e+04
68.5,3.425e+04,3.741e+04,5.992e+03,7.765e+04
70.0,2.688e+04,3.613e+04,8.130e+03,7.114e+04
71.6,2.362e+04,3.022e+04,1.356e+04,6.740e+04
73.1,2.271e+04,2.341e+04,2.209e+04,6.822e+04
74.7,2.253e+04,2.290e+04,2.632e+04,7.175e+04
76.2,1.985e+04,2.815e+04,2.344e+04,7.143e+04
77.8,1.474e+04,3.385e+04,1.672e+04,6.530e+04
79.3,1.004e+04,3.866e+04,1.295e+04,6.165e+04
80.9,6.852e+03,4.341e+04,1.378e+04,6.404e+04
82.5,5.385e+03,5.087e+04,1.688e+04,7.313e+04
84.0,5.869e+03,5.751e+04,2.315e+04,8.653e+04
85.6,7.735e+03,5.273e+04,3.141e+04,9.187e+04
87.1,9.726e+03,3.517e+04,3.251e+04,7.741e+04
88.7,1.237e+04,1.744e+04,3.277e+04,6.257e+04
90.2,1.474e+04,8.252e+03,3.165e+04,5.464e+04
91.8,1.571e+04,6.727e+03,2.800e+04,5.044e+04
93.3,1.532e+04,8.432e+03,2.432e+04,4.807e+04
94.9,1.484e+04,1.201e+04,1.981e+04,4.666e+04
96.5,1.436e+04,1.481e+04,1.419e+04,4.336e+04
98.0,1.289e+04,1.483e+04,1.379e+04,4.152e+04
99.6,1.061e+04,1.279e+04,1.348e+04,3.687e+04
101.1,8.594e+03,1.068e+04,1.054e+04,2.981e+04
102.7,7.785e+03,9.601e+03,6.759e+03,2.415e+04
104.2,7.931e+03,8.913e+03,6.651e+03,2.350e+04
105.8,6.239e+03,7.122e+03,6.416e+03,1.978e+04
107.3,5.680e+03,7.296e+03,7.125e+03,2.010e+04
108.9,5.582e+03,7.759e+03,6.776e+03,2.012e+04
110.5,4.650e+03,8.436e+03,5.250e+03,1.834e+04
112.0,4.861e+03,1.070e+04,5.090e+03,2.065e+04
113.6,4.288e+03,9.769e+03,3.514e+03,1.757e+04
115.1,4.791e+03,8.115e+03,2.338e+03,1.524e+04
116.7,4.847e+03,6.763e+03,1.600e+03,1.321e+04
118.2,4.381e+03,7.312e+03,1.226e+03,1.292e+04
119.8,4.063e+03,8.670e+03,1.377e+03,1.411e+04
121.4,3.931e+03,8.903e+03,1.653e+03,1.449e+04
122.9,3.857e+03,8.449e+03,1.716e+03,1.402e+04
124.5,3.741e+03,8.291e+03,1.618e+03,1.365e+04
126.0,3.535e+03,8.360e+03,1.500e+03,1.340e+04
127.6,3.343e+03,8.658e+03,1.421e+03,1.342e+04
129.1,3.245e+03,9.063e+03,1.165e+03,1.347e+04
130.7,3.208e+03,9.369e+03,7.696e+02,1.335e+04
132.2,2.651e+03,8.071e+03,4.522e+02,1.117e+04
133.8,7.873e+02,2.395e+03,2.372e+02,3.420e+03
135.4,1.789e+02,4.187e+02,1.783e+02,7.759e+02
136.9,1.701e+02,3.209e+02,1.611e+02,6.520e+02
138.5,1.593e+02,2.821e+02,1.410e+02,5.824e+02
140.0,1.519e+02,2.664e+02,1.382e+02,5.565e+02
141.6,1.526e+02,2.491e+02,1.422e+02,5.439e+02
143.1,1.620e+02,2.744e+02,1.560e+02,5.924e+02
144.7,1.931e+02,3.738e+02,2.132e+02,7.801e+02
146.2,2.811e+02,4.186e+02,3.267e+02,1.026e+03
147.8,3.770e+02,4.110e+02,4.376e+02,1.226e+03
149.4,5.024e+02,4.594e+02,5.619e+02,1.524e+03
150.9,4.765e+02,4.629e+02,6.294e+02,1.569e+03
152.5,3.629e+02,4.039e+02,5.487e+02,1.315e+03
154.0,2.889e+02,3.371e+02,3.979e+02,1.024e+03
155.6,2.448e+02,2.776e+02,3.189e+02,8.413e+02
157.1,2.534e+03,3.065e+03,3.713e+03,9.313e+03
158.7,1.428e+04,1.816e+04,1.983e+04,5.228e+04
160.2,6.894e+03,8.838e+03,9.870e+03,2.560e+04
161.8,2.961e+02,2.911e+02,6.483e+02,1.235e+03
163.4,1.247e+02,7.893e+01,4.379e+02,6.415e+02
164.9,1.037e+02,6.006e+01,4.144e+02,5.782e+02
166.5,8.832e+01,4.983e+01,3.764e+02,5.146e+02
168.0,8.960e+01,5.991e+01,3.614e+02,5.109e+02
169.6,1.023e+02,8.267e+01,3.790e+02,5.639e+02
171.1,1.086e+02,1.014e+02,3.909e+02,6.009e+02
172.7,1.296e+02,1.009e+02,4.619e+02,6.924e+02
174.2,1.577e+02,9.594e+01,6.015e+02,8.552e+02
175.8,1.489e+02,8.529e+01,4.772e+02,7.114e+02
177.4,1.344e+02,6.548e+01,4.108e+02,6.107e+02
178.9,1.341e+02,5.593e+01,4.285e+02,6.185e+02
180.5,1.264e+02,6.162e+01,4.025e+02,5.904e+02
182.0,1.231e+02,7.649e+01,3.749e+02,5.745e+02
183.6,1.568e+02,9.273e+01,4.406e+02,6.901e+02
185.1,1.791e+02,1.109e+02,4.620e+02,7.520e+02
186.7,1.750e+02,1.210e+02,5.147e+02,8.107e+02
188.3,1.333e+02,9.488e+01,5.496e+02,7.778e+02
189.8,1.505e+02,8.582e+01,5.792e+02,8.155e+02
191.4,2.061e+02,1.255e+02,6.942e+02,1.026e+03
192.9,2.483e+02,2.056e+02,7.898e+02,1.244e+03
194.5,2.233e+02,2.828e+02,7.858e+02,1.292e+03
196.0,2.174e+02,2.814e+02,8.694e+02,1.368e+03
197.6,2.260e+02,2.679e+02,9.322e+02,1.426e+03
199.1,2.547e+02,2.991e+02,9.644e+02,1.518e+03
