freq,psd_x,psd_y,psd_z,psd_xyz
0.0,5.474e+01,2.432e+01,8.567e+02,9.357e+02
1.5,2.361e+02,4.086e+01,5.124e+02,7.894e+02
3.1,2.279e+02,3.813e+01,6.274e+01,3.288e+02
4.6,2.071e+02,3.430e+01,3.915e+02,6.329e+02
6.2,2.337e+02,3.954e+01,1.159e+03,1.432e+03
7.7,2.449e+02,4.109e+01,1.745e+03,2.031e+03
9.3,2.863e+02,3.555e+01,2.572e+03,2.894e+03
10.8,2.962e+02,3.663e+01,3.503e+03,3.836e+03
12.4,2.349e+02,3.498e+01,4.474e+03,4.744e+03
13.9,1.964e+02,3.635e+01,5.759e+03,5.991e+03
15.5,2.270e+02,3.612e+01,7.383e+03,7.647e+03
17.0,2.484e+02,3.872e+01,9.384e+03,9.671e+03
18.6,2.301e+02,4.224e+01,1.174e+04,1.202e+04
20.1,2.377e+02,4.236e+01,1.379e+04,1.407e+04
21.7,2.435e+02,4.839e+01,1.649e+04,1.678e+04
23.2,2.107e+02,4.843e+01,1.949e+04,1.975e+04
24.7,2.151e+02,4.292e+01,2.285e+04,2.311e+04
26.3,2.502e+02,5.131e+01,2.741e+04,2.771e+04
27.8,2.397e+02,6.047e+01,3.300e+04,3.330e+04
29.4,2.593e+02,8.464e+01,3.934e+04,3.969e+04
30.9,2.908e+02,1.123e+02,4.721e+04,4.761e+04
32.5,3.174e+02,1.375e+02,5.771e+04,5.817e+04
34.0,2.729e+02,1.742e+02,7.095e+04,7.139e+04
35.6,3.067e+02,2.214e+02,8.665e+04,8.718e+04
37.1,3.577e+02,3.064e+02,1.092e+05,1.099e+05
38.7,4.472e+02,5.099e+02,1.391e+05,1.401e+05
40.2,4.936e+02,1.047e+03,1.767e+05,1.783e+05
41.8,5.154e+02,1.780e+03,2.309e+05,2.332e+05
43.3,1.031e+03,1.542e+03,2.892e+05,2.917e+05
44.9,1.961e+03,1.113e+03,3.724e+05,3.755e+05
46.4,2.146e+03,3.756e+03,5.313e+05,5.372e+05
48.0,1.802e+03,1.042e+04,8.385e+05,8.507e+05
