freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.516e+01,2.821e+01,5.448e+02,6.181e+02
1.5,2.567e+02,3.798e+01,3.530e+02,6.477e+02
3.1,3.120e+02,3.467e+01,7.346e+01,4.201e+02
4.6,2.715e+02,4.850e+01,4.088e+02,7.288e+02
6.2,2.864e+02,1.434e+02,1.220e+03,1.650e+03
7.7,3.031e+02,1.309e+02,1.903e+03,2.337e+03
9.2,2.787e+02,5.044e+01,2.832e+03,3.161e+03
10.8,2.702e+02,4.074e+01,3.877e+03,4.188e+03
12.3,3.547e+02,4.074e+01,5.041e+03,5.436e+03
13.8,3.755e+02,3.954e+01,6.660e+03,7.075e+03
15.4,3.607e+02,4.283e+01,8.892e+03,9.296e+03
16.9,3.585e+02,4.696e+01,1.112e+04,1.152e+04
18.5,3.719e+02,5.433e+01,1.346e+04,1.388e+04
20.0,4.135e+02,5.575e+01,1.657e+04,1.704e+04
21.5,3.606e+02,5.946e+01,2.110e+04,2.152e+04
23.1,3.190e+02,6.305e+01,2.536e+04,2.574e+04
24.6,3.355e+02,6.556e+01,3.006e+04,3.046e+04
26.1,3.108e+02,8.493e+01,3.614e+04,3.654e+04
27.7,3.001e+02,1.209e+02,4.374e+04,4.416e+04
29.2,3.275e+02,1.563e+02,5.325e+04,5.374e+04
30.8,3.365e+02,2.174e+02,6.586e+04,6.642e+04
32.3,4.456e+02,3.177e+02,8.221e+04,8.298e+04
33.8,4.549e+02,4.640e+02,1.026e+05,1.035e+05
35.4,4.095e+02,5.970e+02,1.300e+05,1.310e+05
36.9,4.469e+02,7.468e+02,1.762e+05,1.774e+05
38.5,4.695e+02,9.754e+02,2.454e+05,2.469e+05
40.0,4.740e+02,1.603e+03,3.348e+05,3.369e+05
41.5,1.195e+03,4.086e+03,4.978e+05,5.031e+05
43.1,4.000e+03,5.712e+03,6.446e+05,6.543e+05
44.6,6.630e+03,3.521e+03,6.367e+05,6.469e+05
46.1,7.042e+03,1.825e+03,5.847e+05,5.935e+05
47.7,4.274e+03,3.267e+03,5.161e+05,5.237e+05
49.2,2.002e+03,4.942e+03,4.132e+05,4.202e+05
50.8,1.590e+03,4.638e+03,2.874e+05,2.937e+05
52.3,1.414e+03,3.435e+03,1.805e+05,1.853e+05
53.8,8.906e+02,2.171e+03,1.285e+05,1.316e+05
55.4,8.822e+02,2.385e+03,7.930e+04,8.257e+04
56.9,2.403e+03,5.860e+03,9.660e+04,1.049e+05
58.5,6.835e+03,8.996e+03,1.473e+05,1.631e+05
60.0,1.380e+04,8.465e+03,3.026e+05,3.248e+05
61.5,2.363e+04,9.759e+03,6.922e+05,7.256e+05
63.1,3.067e+04,1.901e+04,1.189e+06,1.239e+06
64.6,3.395e+04,2.953e+04,1.502e+06,1.565e+06
66.1,3.509e+04,2.723e+04,1.452e+06,1.514e+06
67.7,3.151e+04,2.013e+04,1.182e+06,1.234e+06
