freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.154e+01,3.945e+01,4.530e+02,5.140e+02
1.5,7.967e+01,5.477e+01,3.064e+02,4.408e+02
3.1,8.450e+01,4.790e+01,8.936e+01,2.218e+02
4.6,8.085e+01,4.532e+01,3.983e+02,5.245e+02
6.2,9.124e+01,5.400e+01,1.197e+03,1.342e+03
7.7,9.761e+01,5.676e+01,1.890e+03,2.044e+03
9.2,1.040e+02,5.524e+01,2.783e+03,2.943e+03
10.8,1.051e+02,5.804e+01,3.647e+03,3.810e+03
12.3,1.060e+02,6.140e+01,4.831e+03,4.999e+03
13.8,1.064e+02,6.297e+01,6.362e+03,6.531e+03
15.4,1.023e+02,6.395e+01,8.028e+03,8.195e+03
16.9,1.006e+02,7.101e+01,9.878e+03,1.005e+04
18.5,1.147e+02,7.666e+01,1.211e+04,1.230e+04
20.0,1.257e+02,7.787e+01,1.461e+04,1.481e+04
21.5,1.425e+02,9.626e+01,1.833e+04,1.857e+04
23.1,1.637e+02,1.022e+02,2.250e+04,2.277e+04
24.6,1.620e+02,1.176e+02,2.709e+04,2.737e+04
26.2,1.464e+02,1.436e+02,3.279e+04,3.308e+04
27.7,1.553e+02,1.674e+02,3.970e+04,4.002e+04
29.2,1.492e+02,2.028e+02,4.876e+04,4.911e+04
30.8,1.537e+02,2.850e+02,6.118e+04,6.162e+04
32.3,1.885e+02,3.993e+02,7.758e+04,7.817e+04
33.8,1.954e+02,5.618e+02,9.732e+04,9.808e+04
35.4,1.764e+02,7.991e+02,1.243e+05,1.252e+05
36.9,1.931e+02,1.326e+03,1.690e+05,1.705e+05
38.5,4.072e+02,3.118e+03,2.507e+05,2.543e+05
40.0,1.990e+03,7.248e+03,4.020e+05,4.112e+05
41.5,6.347e+03,1.217e+04,5.796e+05,5.981e+05
43.1,7.882e+03,1.094e+04,5.848e+05,6.036e+05
44.6,6.953e+03,7.480e+03,4.271e+05,4.416e+05
46.2,5.792e+03,6.769e+03,2.772e+05,2.898e+05
47.7,4.089e+03,5.405e+03,1.765e+05,1.859e+05
49.2,1.394e+03,2.944e+03,1.077e+05,1.120e+05
50.8,6.526e+02,2.084e+03,6.278e+04,6.552e+04
52.3,1.273e+03,2.520e+03,4.111e+04,4.490e+04
53.8,2.028e+03,3.363e+03,3.949e+04,4.488e+04
55.4,2.300e+03,3.605e+03,5.608e+04,6.199e+04
56.9,2.145e+03,2.147e+03,7.582e+04,8.011e+04
58.5,1.484e+03,3.357e+03,1.357e+05,1.405e+05
60.0,1.433e+03,5.675e+03,2.314e+05,2.385e+05
61.5,6.814e+03,1.039e+04,5.394e+05,5.566e+05
63.1,2.039e+04,1.655e+04,1.091e+06,1.128e+06
64.6,2.701e+04,1.810e+04,1.342e+06,1.387e+06
66.2,2.509e+04,1.361e+04,1.198e+06,1.236e+06
67.7,1.793e+04,1.508e+04,8.755e+05,9.086e+05
69.2,9.491e+03,3.939e+04,6.402e+05,6.891e+05
70.8,4.566e+03,1.051e+05,6.370e+05,7.467e+05
72.3,3.354e+03,1.995e+05,8.121e+05,1.015e+06
73.8,3.991e+03,2.454e+05,9.034e+05,1.153e+06
75.4,6.280e+03,2.270e+05,8.301e+05,1.063e+06
76.9,9.090e+03,1.835e+05,7.243e+05,9.170e+05
78.5,1.081e+04,1.370e+05,6.254e+05,7.732e+05
80.0,1.128e+04,1.011e+05,5.372e+05,6.496e+05
81.5,1.158e+04,7.608e+04,4.853e+05,5.730e+05
83.1,1.144e+04,5.930e+04,4.635e+05,5.342e+05
84.6,1.089e+04,4.609e+04,4.395e+05,4.964e+05
86.2,9.444e+03,3.483e+04,3.987e+05,4.430e+05
87.7,7.974e+03,2.537e+04,3.856e+05,4.190e+05
89.2,6.792e+03,1.581e+04,4.119e+05,4.345e+05
90.8,5.958e+03,9.346e+03,4.280e+05,4.433e+05
92.3,5.729e+03,9.231e+03,4.132e+05,4.282e+05
93.8,5.699e+03,1.195e+04,3.607e+05,3.783e+05
95.4,5.586e+03,1.445e+04,3.505e+05,3.705e+05
96.9,5.296e+03,1.931e+04,3.972e+05,4.218e+05
98.5,5.416e+03,2.578e+04,4.199e+05,4.511e+05
100.0,5.391e+03,3.213e+04,4.064e+05,4.439e+05
101.5,4.571e+03,3.618e+04,3.782e+05,4.189e+05
103.1,4.620e+03,3.964e+04,3.502e+05,3.944e+05
104.6,4.047e+03,3.794e+04,2.882e+05,3.302e+05
106.1,3.191e+03,3.112e+04,2.030e+05,2.373e+05
107.7,3.622e+03,3.852e+04,2.253e+05,2.675e+05
109.2,4.227e+03,4.689e+04,2.563e+05,3.074e+05
110.8,4.631e+03,4.547e+04,2.416e+05,2.917e+05
112.3,4.260e+03,4.221e+04,2.163e+05,2.627e+05
113.8,4.136e+03,4.368e+04,2.022e+05,2.500e+05
115.4,4.140e+03,4.982e+04,1.971e+05,2.511e+05
116.9,4.140e+03,5.900e+04,1.961e+05,2.592e+05
118.5,4.017e+03,6.826e+04,1.960e+05,2.683e+05
120.0,4.338e+03,7.329e+04,1.928e+05,2.704e+05
121.5,4.419e+03,7.787e+04,1.894e+05,2.717e+05
123.1,3.909e+03,8.206e+04,1.884e+05,2.744e+05
124.6,3.501e+03,8.604e+04,1.912e+05,2.807e+05
126.1,2.957e+03,9.328e+04,1.958e+05,2.920e+05
127.7,2.923e+03,1.003e+05,1.984e+05,3.016e+05
129.2,3.012e+03,1.016e+05,1.971e+05,3.018e+05
130.8,2.981e+03,9.794e+04,1.918e+05,2.927e+05
132.3,2.998e+03,8.075e+04,1.561e+05,2.398e+05
133.8,1.575e+03,2.200e+04,4.037e+04,6.395e+04
135.4,8.800e+02,2.058e+03,3.215e+03,6.153e+03
136.9,8.787e+02,1.422e+03,2.365e+03,4.666e+03
138.5,1.002e+03,1.195e+03,2.201e+03,4.399e+03
140.0,9.970e+02,1.186e+03,2.222e+03,4.405e+03
141.5,1.038e+03,1.224e+03,2.421e+03,4.684e+03
143.1,9.955e+02,1.136e+03,2.631e+03,4.762e+03
144.6,1.090e+03,1.132e+03,2.971e+03,5.193e+03
146.1,1.415e+03,1.125e+03,3.464e+03,6.003e+03
147.7,1.596e+03,1.087e+03,4.141e+03,6.824e+03
149.2,1.798e+03,1.199e+03,5.586e+03,8.583e+03
150.8,1.958e+03,1.698e+03,6.986e+03,1.064e+04
152.3,2.567e+03,5.265e+03,8.843e+03,1.667e+04
153.8,2.907e+03,5.512e+03,9.513e+03,1.793e+04
155.4,2.645e+03,2.557e+03,9.374e+03,1.458e+04
156.9,3.998e+03,5.570e+03,1.330e+04,2.287e+04
158.5,7.719e+03,1.462e+04,2.157e+04,4.391e+04
160.0,6.301e+03,7.626e+03,2.037e+04,3.430e+04
161.5,4.496e+03,2.588e+03,1.659e+04,2.367e+04
163.1,3.449e+03,8.413e+02,1.413e+04,1.842e+04
164.6,3.707e+03,5.512e+02,1.558e+04,1.984e+04
166.1,4.349e+03,6.168e+02,1.898e+04,2.395e+04
167.7,5.184e+03,7.539e+02,2.276e+04,2.870e+04
169.2,6.843e+03,9.994e+02,3.073e+04,3.857e+04
170.8,1.047e+04,1.559e+03,4.800e+04,6.002e+04
172.3,1.710e+04,2.837e+03,7.932e+04,9.925e+04
173.8,2.116e+04,3.886e+03,9.444e+04,1.195e+05
175.4,2.068e+04,4.425e+03,8.758e+04,1.127e+05
176.9,1.759e+04,4.480e+03,7.292e+04,9.499e+04
178.5,1.436e+04,3.941e+03,5.843e+04,7.673e+04
180.0,1.131e+04,3.298e+03,4.385e+04,5.846e+04
181.5,1.025e+04,3.369e+03,3.820e+04,5.182e+04
183.1,7.354e+03,2.565e+03,2.582e+04,3.574e+04
184.6,4.817e+03,1.752e+03,1.479e+04,2.136e+04
186.1,4.178e+03,1.574e+03,1.133e+04,1.708e+04
187.7,2.935e+03,1.018e+03,8.068e+03,1.202e+04
189.2,2.859e+03,9.161e+02,1.004e+04,1.382e+04
190.8,2.212e+03,8.640e+02,8.178e+03,1.125e+04
192.3,1.833e+03,8.715e+02,6.863e+03,9.567e+03
193.8,1.895e+03,9.970e+02,7.312e+03,1.020e+04
195.4,2.009e+03,1.123e+03,7.705e+03,1.084e+04
196.9,2.000e+03,1.048e+03,7.176e+03,1.022e+04
198.5,1.763e+03,9.033e+02,6.078e+03,8.744e+03
