freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.063e+02,5.844e+02,1.086e+01,7.015e+02
1.5,7.511e+01,3.428e+02,2.646e+01,4.443e+02
3.1,1.989e+01,2.707e+01,2.870e+01,7.566e+01
4.6,2.060e+01,4.134e+02,3.086e+01,4.648e+02
6.2,2.397e+01,1.314e+03,3.719e+01,1.375e+03
7.7,2.358e+01,1.548e+03,3.302e+01,1.605e+03
9.2,2.314e+01,2.405e+03,3.359e+01,2.461e+03
10.8,2.479e+01,3.612e+03,3.736e+01,3.674e+03
12.3,2.396e+01,5.160e+03,3.518e+01,5.219e+03
13.8,2.549e+01,7.005e+03,3.471e+01,7.065e+03
15.4,2.847e+01,9.203e+03,3.812e+01,9.270e+03
16.9,3.200e+01,1.182e+04,3.991e+01,1.189e+04
18.5,3.868e+01,1.524e+04,3.670e+01,1.531e+04
20.0,4.969e+01,1.987e+04,3.965e+01,1.996e+04
21.5,7.740e+01,2.549e+04,4.423e+01,2.561e+04
23.1,1.317e+02,3.337e+04,4.569e+01,3.355e+04
24.6,2.564e+02,4.539e+04,5.565e+01,4.570e+04
26.2,4.788e+02,6.244e+04,8.093e+01,6.300e+04
27.7,8.865e+02,8.826e+04,1.145e+02,8.926e+04
29.2,1.720e+03,1.302e+05,1.591e+02,1.321e+05
30.8,4.019e+03,2.073e+05,2.430e+02,2.116e+05
32.3,1.415e+04,4.089e+05,5.813e+02,4.236e+05
33.8,7.136e+04,9.941e+05,2.536e+03,1.068e+06
35.4,1.611e+05,1.497e+06,4.502e+03,1.663e+06
36.9,2.079e+05,1.408e+06,3.791e+03,1.619e+06
38.5,2.129e+05,1.187e+06,4.466e+03,1.405e+06
40.0,1.742e+05,9.681e+05,4.236e+03,1.147e+06
41.5,1.433e+05,7.502e+05,2.074e+03,8.956e+05
43.1,1.204e+05,5.588e+05,8.123e+02,6.800e+05
44.6,1.198e+05,4.254e+05,7.572e+02,5.459e+05
46.2,1.430e+05,3.527e+05,2.510e+03,4.982e+05
47.7,1.461e+05,2.911e+05,4.824e+03,4.420e+05
49.2,1.389e+05,2.434e+05,6.568e+03,3.888e+05
50.8,1.429e+05,1.933e+05,9.143e+03,3.453e+05
52.3,1.489e+05,1.569e+05,7.740e+03,3.135e+05
53.8,1.507e+05,1.240e+05,4.718e+03,2.794e+05
55.4,1.337e+05,9.532e+04,3.504e+03,2.325e+05
56.9,1.055e+05,7.748e+04,1.637e+03,1.846e+05
58.5,7.870e+04,6.289e+04,4.398e+02,1.420e+05
60.0,5.925e+04,5.543e+04,8.771e+02,1.156e+05
61.5,4.803e+04,5.516e+04,1.331e+03,1.045e+05
63.1,4.513e+04,5.339e+04,1.515e+03,1.000e+05
64.6,4.335e+04,4.702e+04,1.928e+03,9.230e+04
66.2,4.025e+04,4.125e+04,4.922e+03,8.642e+04
67.7,3.718e+04,2.859e+04,1.276e+04,7.852e+04
69.2,2.668e+04,1.547e+04,1.491e+04,5.706e+04
70.8,2.027e+04,1.155e+04,9.218e+03,4.104e+04
72.3,2.251e+04,1.286e+04,1.002e+04,4.539e+04
73.9,2.154e+04,1.429e+04,1.109e+04,4.692e+04
75.4,1.640e+04,1.706e+04,7.704e+03,4.116e+04
76.9,1.112e+04,1.984e+04,7.590e+03,3.855e+04
78.5,6.401e+03,2.091e+04,7.667e+03,3.498e+04
80.0,2.628e+03,1.674e+04,1.007e+04,2.944e+04
81.5,1.388e+03,1.368e+04,1.485e+04,2.991e+04
83.1,2.431e+03,1.146e+04,2.308e+04,3.697e+04
84.6,4.593e+03,1.066e+04,2.334e+04,3.859e+04
86.2,6.311e+03,1.066e+04,1.663e+04,3.360e+04
87.7,8.015e+03,1.442e+04,1.091e+04,3.334e+04
89.2,1.084e+04,2.182e+04,1.050e+04,4.316e+04
90.8,1.386e+04,2.363e+04,9.988e+03,4.748e+04
92.3,1.462e+04,1.996e+04,7.793e+03,4.237e+04
93.9,1.332e+04,1.506e+04,5.404e+03,3.378e+04
95.4,1.179e+04,1.153e+04,4.181e+03,2.750e+04
96.9,1.043e+04,9.088e+03,4.234e+03,2.376e+04
98.5,9.157e+03,7.402e+03,4.792e+03,2.135e+04
100.0,8.028e+03,6.547e+03,4.788e+03,1.936e+04
101.5,7.319e+03,6.230e+03,3.930e+03,1.748e+04
103.1,6.721e+03,6.086e+03,3.049e+03,1.586e+04
104.6,5.867e+03,6.372e+03,2.664e+03,1.490e+04
106.2,5.060e+03,6.652e+03,2.934e+03,1.465e+04
107.7,4.623e+03,6.443e+03,2.774e+03,1.384e+04
109.2,4.146e+03,6.463e+03,2.711e+03,1.332e+04
110.8,3.659e+03,6.113e+03,2.780e+03,1.255e+04
112.3,3.430e+03,5.385e+03,2.355e+03,1.117e+04
113.9,3.393e+03,5.138e+03,2.076e+03,1.061e+04
115.4,3.352e+03,3.806e+03,1.504e+03,8.662e+03
116.9,3.341e+03,2.770e+03,1.007e+03,7.118e+03
118.5,3.334e+03,3.293e+03,1.137e+03,7.764e+03
120.0,3.422e+03,4.721e+03,1.907e+03,1.005e+04
121.5,3.538e+03,4.875e+03,2.405e+03,1.082e+04
123.1,3.859e+03,3.614e+03,2.224e+03,9.698e+03
124.6,3.994e+03,2.767e+03,1.711e+03,8.471e+03
126.2,3.395e+03,3.831e+03,1.132e+03,8.358e+03
127.7,2.583e+03,6.513e+03,6.938e+02,9.789e+03
129.2,3.298e+03,6.045e+03,1.522e+03,1.087e+04
130.8,3.770e+03,4.256e+03,2.159e+03,1.019e+04
132.3,2.691e+03,3.211e+03,1.572e+03,7.474e+03
133.9,5.057e+02,8.479e+02,4.468e+02,1.800e+03
135.4,7.039e+01,3.127e+02,2.215e+02,6.046e+02
136.9,1.450e+02,3.724e+02,3.179e+02,8.354e+02
138.5,2.774e+02,4.101e+02,4.250e+02,1.112e+03
140.0,3.694e+02,4.055e+02,6.373e+02,1.412e+03
141.5,2.832e+02,5.469e+02,9.688e+02,1.799e+03
143.1,2.056e+02,6.131e+02,7.672e+02,1.586e+03
144.6,8.573e+01,4.231e+02,2.496e+02,7.584e+02
146.2,6.312e+01,3.686e+02,1.697e+02,6.014e+02
147.7,5.894e+01,3.723e+02,1.738e+02,6.050e+02
149.2,6.836e+01,3.847e+02,2.240e+02,6.771e+02
150.8,1.256e+02,4.115e+02,3.908e+02,9.278e+02
152.3,1.530e+02,4.134e+02,4.736e+02,1.040e+03
153.9,9.282e+01,3.546e+02,2.986e+02,7.461e+02
155.4,7.605e+01,3.011e+02,2.119e+02,5.891e+02
156.9,7.804e+01,2.687e+02,2.772e+02,6.239e+02
158.5,6.468e+01,2.504e+02,2.971e+02,6.121e+02
160.0,6.056e+01,2.122e+02,2.809e+02,5.537e+02
161.5,8.334e+01,1.765e+02,4.166e+02,6.764e+02
163.1,1.086e+02,1.500e+02,4.857e+02,7.443e+02
164.6,1.053e+02,1.471e+02,3.520e+02,6.043e+02
166.2,1.119e+02,1.686e+02,3.200e+02,6.004e+02
167.7,1.248e+02,1.968e+02,3.216e+02,6.432e+02
169.2,1.343e+02,2.262e+02,4.010e+02,7.615e+02
170.8,1.629e+02,2.878e+02,5.408e+02,9.915e+02
172.3,1.860e+02,4.153e+02,6.065e+02,1.208e+03
173.9,2.149e+02,4.808e+02,6.651e+02,1.361e+03
175.4,2.711e+02,4.837e+02,8.637e+02,1.618e+03
176.9,2.594e+02,4.549e+02,8.290e+02,1.543e+03
178.5,2.533e+02,4.227e+02,6.849e+02,1.361e+03
180.0,2.583e+02,4.409e+02,6.152e+02,1.314e+03
181.6,1.905e+02,4.098e+02,3.985e+02,9.988e+02
183.1,1.277e+02,3.649e+02,2.440e+02,7.366e+02
184.6,9.978e+01,3.400e+02,2.287e+02,6.684e+02
186.2,8.324e+01,2.995e+02,2.166e+02,5.994e+02
187.7,9.842e+01,2.928e+02,2.498e+02,6.411e+02
189.2,1.353e+02,3.398e+02,3.391e+02,8.142e+02
