freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.774e+01,1.989e+01,5.288e+02,6.264e+02
1.5,3.299e+02,3.580e+01,3.324e+02,6.982e+02
3.1,2.197e+02,2.829e+01,6.017e+01,3.082e+02
4.6,1.626e+02,2.329e+01,4.031e+02,5.890e+02
6.1,1.362e+02,2.709e+01,1.201e+03,1.365e+03
7.7,1.259e+02,2.744e+01,1.867e+03,2.020e+03
9.2,1.113e+02,2.992e+01,2.761e+03,2.902e+03
10.7,1.374e+02,3.070e+01,3.727e+03,3.895e+03
12.3,1.569e+02,3.110e+01,4.939e+03,5.127e+03
13.8,1.673e+02,3.276e+01,6.585e+03,6.785e+03
15.4,1.817e+02,3.440e+01,8.454e+03,8.670e+03
16.9,1.882e+02,3.908e+01,1.057e+04,1.080e+04
18.4,1.633e+02,4.501e+01,1.313e+04,1.333e+04
20.0,2.173e+02,5.263e+01,1.614e+04,1.641e+04
21.5,2.786e+02,5.650e+01,1.975e+04,2.008e+04
23.0,2.936e+02,5.220e+01,2.361e+04,2.395e+04
24.6,2.980e+02,5.722e+01,2.841e+04,2.877e+04
26.1,1.978e+02,6.727e+01,3.480e+04,3.506e+04
27.6,1.637e+02,7.933e+01,4.113e+04,4.138e+04
29.2,2.334e+02,1.015e+02,5.230e+04,5.263e+04
30.7,3.082e+02,1.382e+02,6.500e+04,6.545e+04
32.2,4.240e+02,2.990e+02,7.879e+04,7.951e+04
33.8,4.916e+02,4.095e+02,9.739e+04,9.829e+04
35.3,3.718e+02,4.059e+02,1.222e+05,1.230e+05
36.8,3.322e+02,6.468e+02,1.588e+05,1.598e+05
38.4,3.465e+02,1.168e+03,2.110e+05,2.125e+05
39.9,5.521e+02,1.555e+03,2.759e+05,2.780e+05
41.5,9.331e+02,1.151e+03,3.678e+05,3.699e+05
43.0,1.351e+03,2.099e+03,5.116e+05,5.150e+05
44.5,1.835e+03,9.838e+03,7.679e+05,7.795e+05
46.1,3.372e+03,2.100e+04,9.921e+05,1.016e+06
47.6,8.228e+03,2.396e+04,1.047e+06,1.080e+06
49.1,1.228e+04,2.160e+04,9.538e+05,9.877e+05
50.7,1.243e+04,1.776e+04,8.117e+05,8.419e+05
52.2,1.327e+04,1.340e+04,7.194e+05,7.460e+05
53.7,1.661e+04,8.609e+03,6.341e+05,6.594e+05
55.3,2.003e+04,5.076e+03,5.170e+05,5.421e+05
56.8,2.043e+04,3.136e+03,4.125e+05,4.361e+05
58.3,1.831e+04,1.857e+03,3.361e+05,3.562e+05
59.9,1.972e+04,1.501e+03,3.029e+05,3.241e+05
61.4,2.503e+04,2.319e+03,3.145e+05,3.418e+05
62.9,2.436e+04,4.097e+03,3.273e+05,3.558e+05
64.5,1.883e+04,4.729e+03,2.700e+05,2.936e+05
66.0,1.561e+04,4.611e+03,2.249e+05,2.452e+05
67.5,1.139e+04,4.362e+03,2.066e+05,2.224e+05
69.1,8.886e+03,4.468e+03,1.934e+05,2.068e+05
70.6,8.187e+03,4.411e+03,1.861e+05,1.987e+05
72.2,7.454e+03,3.657e+03,2.133e+05,2.244e+05
73.7,7.748e+03,3.117e+03,2.542e+05,2.651e+05
75.2,8.641e+03,2.625e+03,2.768e+05,2.880e+05
76.8,1.035e+04,1.461e+03,3.082e+05,3.200e+05
78.3,1.037e+04,8.700e+02,2.875e+05,2.988e+05
79.8,1.076e+04,4.520e+02,2.908e+05,3.020e+05
81.4,1.066e+04,6.362e+02,2.779e+05,2.892e+05
82.9,1.034e+04,1.445e+03,2.426e+05,2.543e+05
84.4,1.145e+04,2.991e+03,2.416e+05,2.561e+05
86.0,1.269e+04,5.334e+03,2.488e+05,2.668e+05
87.5,1.275e+04,6.687e+03,2.272e+05,2.466e+05
89.0,1.709e+04,8.894e+03,2.565e+05,2.825e+05
90.6,2.057e+04,9.363e+03,2.745e+05,3.044e+05
92.1,2.092e+04,8.776e+03,2.796e+05,3.093e+05
93.6,1.989e+04,7.150e+03,2.876e+05,3.146e+05
95.2,2.007e+04,6.479e+03,3.031e+05,3.297e+05
96.7,2.126e+04,6.989e+03,2.941e+05,3.224e+05
98.3,2.248e+04,8.192e+03,2.847e+05,3.153e+05
99.8,2.242e+04,1.077e+04,3.115e+05,3.447e+05
101.3,2.244e+04,1.596e+04,3.235e+05,3.619e+05
102.9,2.275e+04,2.471e+04,3.206e+05,3.681e+05
104.4,2.093e+04,3.169e+04,2.939e+05,3.465e+05
105.9,1.886e+04,3.594e+04,2.666e+05,3.214e+05
107.5,1.604e+04,4.407e+04,2.617e+05,3.218e+05
109.0,1.341e+04,4.868e+04,2.556e+05,3.177e+05
110.5,1.138e+04,4.940e+04,2.478e+05,3.085e+05
112.1,9.985e+03,5.169e+04,2.500e+05,3.117e+05
113.6,1.011e+04,5.744e+04,2.695e+05,3.371e+05
115.1,1.152e+04,6.434e+04,2.984e+05,3.743e+05
116.7,1.359e+04,6.607e+04,3.196e+05,3.993e+05
118.2,1.600e+04,6.384e+04,3.330e+05,4.128e+05
119.7,1.843e+04,6.064e+04,3.430e+05,4.220e+05
121.3,2.077e+04,5.858e+04,3.524e+05,4.317e+05
122.8,2.347e+04,5.890e+04,3.684e+05,4.508e+05
124.4,2.702e+04,6.342e+04,4.018e+05,4.922e+05
125.9,3.114e+04,7.082e+04,4.404e+05,5.423e+05
127.4,3.576e+04,8.038e+04,4.851e+05,6.012e+05
129.0,4.200e+04,9.456e+04,5.525e+05,6.891e+05
130.5,4.987e+04,1.103e+05,6.283e+05,7.884e+05
132.0,5.346e+04,1.131e+05,6.362e+05,8.028e+05
133.6,2.350e+04,4.671e+04,2.634e+05,3.337e+05
135.1,5.593e+03,8.932e+03,5.040e+04,6.492e+04
136.6,6.622e+03,7.654e+03,4.174e+04,5.602e+04
138.2,7.837e+03,6.884e+03,3.489e+04,4.961e+04
139.7,7.984e+03,5.816e+03,2.805e+04,4.185e+04
141.2,6.710e+03,4.798e+03,2.412e+04,3.563e+04
142.8,5.153e+03,3.694e+03,2.169e+04,3.054e+04
144.3,4.871e+03,2.798e+03,1.764e+04,2.531e+04
145.8,3.288e+03,2.676e+03,1.533e+04,2.129e+04
147.4,2.772e+03,2.544e+03,1.380e+04,1.911e+04
148.9,2.675e+03,2.873e+03,1.663e+04,2.218e+04
150.4,2.955e+03,3.443e+03,2.100e+04,2.740e+04
152.0,2.671e+03,3.360e+03,2.077e+04,2.681e+04
153.5,2.953e+03,3.713e+03,2.248e+04,2.915e+04
155.1,6.463e+03,5.951e+03,3.340e+04,4.581e+04
156.6,9.259e+03,8.532e+03,4.429e+04,6.208e+04
158.1,9.299e+03,9.183e+03,4.504e+04,6.352e+04
159.7,1.165e+04,9.388e+03,4.682e+04,6.786e+04
161.2,1.244e+04,1.169e+04,4.997e+04,7.410e+04
162.7,1.527e+04,1.671e+04,5.804e+04,9.002e+04
164.3,1.205e+04,1.666e+04,5.264e+04,8.135e+04
165.8,5.655e+03,7.115e+03,2.698e+04,3.975e+04
167.3,3.936e+03,4.373e+03,1.753e+04,2.584e+04
168.9,4.692e+03,4.964e+03,1.799e+04,2.765e+04
170.4,6.153e+03,6.261e+03,2.112e+04,3.354e+04
171.9,5.221e+03,5.573e+03,1.953e+04,3.032e+04
173.5,4.574e+03,5.257e+03,1.852e+04,2.835e+04
175.0,5.063e+03,6.217e+03,1.958e+04,3.086e+04
176.5,7.377e+03,9.031e+03,2.636e+04,4.277e+04
178.1,4.635e+03,5.446e+03,1.889e+04,2.897e+04
179.6,3.093e+03,3.711e+03,1.582e+04,2.262e+04
181.2,3.228e+03,3.666e+03,1.552e+04,2.241e+04
182.7,3.612e+03,3.714e+03,1.542e+04,2.275e+04
184.2,3.706e+03,3.503e+03,1.507e+04,2.228e+04
185.8,3.377e+03,3.173e+03,1.429e+04,2.084e+04
187.3,3.013e+03,2.616e+03,1.278e+04,1.841e+04
