freq,psd_x,psd_y,psd_z,psd_xyz
0.0,9.154e+01,6.083e+01,6.867e+02,8.391e+02
1.6,3.137e+02,7.378e+01,4.043e+02,7.919e+02
3.1,2.562e+02,4.483e+01,5.256e+01,3.536e+02
4.7,2.943e+02,5.538e+01,3.897e+02,7.394e+02
6.2,3.184e+02,6.192e+01,1.124e+03,1.504e+03
7.8,3.293e+02,5.954e+01,1.817e+03,2.206e+03
9.3,3.754e+02,6.078e+01,2.793e+03,3.230e+03
10.9,4.217e+02,6.192e+01,3.888e+03,4.372e+03
12.4,4.092e+02,6.181e+01,5.194e+03,5.665e+03
14.0,3.751e+02,6.756e+01,6.877e+03,7.319e+03
15.5,3.494e+02,6.981e+01,8.929e+03,9.349e+03
17.1,3.077e+02,7.097e+01,1.113e+04,1.151e+04
18.6,3.155e+02,8.188e+01,1.364e+04,1.403e+04
20.2,3.700e+02,8.758e+01,1.678e+04,1.724e+04
21.7,3.660e+02,9.135e+01,2.098e+04,2.144e+04
23.3,4.002e+02,1.173e+02,2.638e+04,2.690e+04
24.8,4.994e+02,1.546e+02,3.189e+04,3.255e+04
26.4,3.700e+02,1.840e+02,3.872e+04,3.928e+04
27.9,3.104e+02,2.477e+02,4.811e+04,4.866e+04
29.5,3.268e+02,3.481e+02,6.087e+04,6.154e+04
31.0,3.339e+02,4.901e+02,7.855e+04,7.938e+04
32.6,3.699e+02,6.851e+02,1.033e+05,1.043e+05
34.1,3.863e+02,9.947e+02,1.367e+05,1.381e+05
35.7,3.944e+02,1.395e+03,1.794e+05,1.811e+05
37.2,4.147e+02,2.150e+03,2.483e+05,2.509e+05
38.8,5.303e+02,3.788e+03,3.765e+05,3.809e+05
40.3,8.016e+02,9.029e+03,6.971e+05,7.069e+05
41.9,1.258e+03,2.856e+04,1.465e+06,1.494e+06
43.4,3.620e+03,4.545e+04,1.908e+06,1.957e+06
45.0,7.629e+03,4.006e+04,1.596e+06,1.643e+06
46.5,7.345e+03,2.549e+04,1.133e+06,1.166e+06
48.1,7.588e+03,1.765e+04,8.742e+05,8.995e+05
49.6,9.276e+03,1.674e+04,6.573e+05,6.834e+05
51.2,1.052e+04,1.209e+04,4.199e+05,4.425e+05
52.7,1.191e+04,6.879e+03,2.718e+05,2.906e+05
54.3,1.120e+04,3.693e+03,1.602e+05,1.751e+05
55.8,8.806e+03,2.010e+03,8.979e+04,1.006e+05
57.4,6.441e+03,1.436e+03,4.892e+04,5.680e+04
58.9,4.290e+03,1.872e+03,2.801e+04,3.417e+04
60.5,2.359e+03,4.190e+03,2.040e+04,2.695e+04
62.0,1.542e+03,8.850e+03,2.881e+04,3.920e+04
63.6,1.658e+03,1.841e+04,9.574e+04,1.158e+05
65.1,1.672e+03,5.188e+04,3.640e+05,4.175e+05
66.7,3.051e+03,1.129e+05,7.757e+05,8.917e+05
68.2,4.703e+03,1.399e+05,9.188e+05,1.063e+06
69.8,4.190e+03,1.518e+05,9.100e+05,1.066e+06
71.3,4.189e+03,1.570e+05,8.576e+05,1.019e+06
72.9,4.961e+03,1.484e+05,7.524e+05,9.058e+05
74.4,5.096e+03,1.371e+05,6.382e+05,7.805e+05
76.0,4.156e+03,1.260e+05,5.341e+05,6.643e+05
77.5,3.433e+03,1.227e+05,4.530e+05,5.791e+05
79.1,2.513e+03,1.209e+05,3.874e+05,5.108e+05
80.6,1.457e+03,1.228e+05,3.297e+05,4.539e+05
82.2,1.093e+03,1.276e+05,2.687e+05,3.974e+05
83.7,1.059e+03,1.369e+05,2.270e+05,3.650e+05
85.3,1.410e+03,1.301e+05,1.948e+05,3.264e+05
86.8,3.475e+03,1.188e+05,1.977e+05,3.200e+05
88.4,8.025e+03,1.097e+05,2.508e+05,3.685e+05
89.9,1.048e+04,9.471e+04,2.552e+05,3.604e+05
91.5,1.173e+04,7.660e+04,2.393e+05,3.277e+05
93.0,1.441e+04,6.901e+04,2.580e+05,3.414e+05
94.6,1.796e+04,6.684e+04,2.728e+05,3.575e+05
96.1,2.060e+04,5.901e+04,2.609e+05,3.405e+05
97.7,1.981e+04,4.686e+04,2.442e+05,3.109e+05
99.2,2.073e+04,3.878e+04,2.271e+05,2.866e+05
100.8,2.310e+04,3.215e+04,2.243e+05,2.796e+05
102.3,2.504e+04,2.630e+04,2.274e+05,2.787e+05
103.9,2.524e+04,2.175e+04,2.182e+05,2.652e+05
105.4,2.365e+04,1.792e+04,1.959e+05,2.375e+05
107.0,2.241e+04,1.458e+04,1.816e+05,2.186e+05
108.5,2.264e+04,1.246e+04,1.834e+05,2.185e+05
110.1,2.632e+04,1.248e+04,2.131e+05,2.519e+05
111.6,2.625e+04,1.094e+04,2.116e+05,2.487e+05
113.2,2.718e+04,9.908e+03,2.189e+05,2.560e+05
114.7,2.961e+04,8.191e+03,2.384e+05,2.762e+05
116.3,3.198e+04,6.427e+03,2.559e+05,2.944e+05
117.8,3.428e+04,5.839e+03,2.677e+05,3.078e+05
119.4,3.688e+04,5.706e+03,2.828e+05,3.254e+05
120.9,3.987e+04,5.803e+03,3.012e+05,3.468e+05
122.5,4.367e+04,6.384e+03,3.223e+05,3.724e+05
124.0,4.832e+04,7.645e+03,3.497e+05,4.057e+05
125.6,5.499e+04,9.903e+03,3.908e+05,4.557e+05
